,Signature N1,Signature N2,Signature N3,Signature N4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
1363_H4,0.011375766,0.0,0.0,0.0,0.0,0.0,0.0,0.09870599,0.0,0.0,0.070415236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011219778,0.0,0.0,0.016338399,0.09288869,0.0,0.0,0.05560573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24775371,0.0,0.1559146,0.0,0.0,0.0,0.027470948,0.0,0.0,0.0,0.14598554,0.0,0.0,0.0,0.06632558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1673_A2,0.02789816,0.0,0.0,0.0,0.18611631,0.0,0.0,0.0,0.0,0.0,0.08552052,0.0,0.0,0.0,0.0,0.026104484,0.0,0.0,0.0,0.01846132,0.0,0.0,0.0,0.0,0.0,0.0,0.024069969,0.0,0.0,0.0,0.0,0.0,0.0,0.03442378,0.045235053,0.0,0.011253343,0.0,0.0,0.0,0.01270444,0.0,0.0,0.0,0.40041107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1673_A3,0.02794451,0.0,0.0,0.0,0.19690537,0.0,0.0,0.0,0.0,0.0,0.01884805,0.0,0.0,0.0,0.0,0.020421758,0.0,0.0,0.0,0.011428338,0.0,0.0,0.01800081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026309332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61911345,0.0,0.0,0.0,0.010675042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1673_D2,0.032806113,0.0,0.0,0.0,0.12511784,0.0,0.0,0.0,0.0,0.0,0.015787004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73427045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604_B2,0.09167224,0.0,0.0,0.0,0.11481403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019657636,0.021502199,0.4151899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016180983,0.0,0.0,0.0,0.0,0.0,0.0,0.042248566,0.0,0.0,0.0,0.22895154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604_B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110652395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027436012,0.0,0.0,0.08871842,0.0,0.0,0.0,0.0,0.0,0.0,0.06278542,0.19749133,0.0,0.044535324,0.0,0.0,0.0,0.19361459,0.0,0.0,0.0,0.054673113,0.0,0.0,0.0,0.12886669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09122673,0.0
604_B6,0.050284382,0.0,0.0,0.0,0.03928168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013546972,0.0148061635,0.16438499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019067902,0.0,0.0,0.0,0.6637941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743_A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06585405,0.0,0.0,0.018731937,0.17729186,0.0,0.0,0.019010998,0.0,0.0,0.0,0.0,0.0,0.0,0.046566915,0.22833501,0.0,0.20890138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09978359,0.0,0.0,0.0,0.091258876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042873167,0.0
1743_C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04750364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19653526,0.0,0.0,0.022041589,0.0,0.0,0.0,0.0,0.0,0.0,0.012764325,0.35564515,0.0,0.14509429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20900813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743_F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062103316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010529618,0.0,0.0,0.0,0.10117083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108981326,0.19911045,0.0,0.0,0.0,0.0,0.0,0.019781122,0.0,0.0,0.0,0.3612667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12828963
1113_D1,0.02638241,0.0,0.0,0.0,0.07825806,0.0,0.0,0.0,0.0,0.0,0.011306161,0.0,0.0,0.0,0.0,0.019451797,0.0,0.0,0.0,0.013762963,0.0,0.011555823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027424708,0.023145385,0.0,0.0,0.0,0.0,0.0,0.010829116,0.0129548535,0.0,0.0,0.6411635,0.0,0.0,0.0,0.018871794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113_E1,0.028280903,0.0,0.0,0.0,0.112272575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124830585,0.0,0.0,0.0,0.0,0.0,0.012319666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011355059,0.0,0.0,0.6735756,0.0,0.0,0.0,0.052083027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113_F1,0.0332953,0.0,0.0,0.0,0.13052042,0.0,0.0,0.0,0.0,0.0,0.031971306,0.0,0.0,0.0,0.0,0.021287957,0.0,0.0,0.0,0.01343309,0.0,0.0,0.028470615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052490324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122086,0.0,0.0,0.0,0.0102838315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
