"","x"
"620","RUNX3"
"621","PHC2"
"622","ZSCAN20"
"623","MAST2"
"624","MAST2"
"625","MAST2"
"626","LRRIQ3"
"627","ST6GALNAC5"
"628","PIGK"
"629","GFI1"
"630","DPYD"
"631","AKNAD1"
"632","HIPK1"
"633","VPS45"
"634","ARHGEF11"
"635","KCNJ10"
"636","SPATA17"
"637","TLR5"
"638","SUSD4"
"639","RYR2"
"640","CATSPERE"
"641","KIF26B"
"642","ALLC"
"643","ALLC"
"644","ALLC"
"645","ALK"
"646","FAM178B"
"647","FAM178B"
"648","ACTR3"
"649","DPP10"
"650","DPP10"
"651","GPR39"
"652","R3HDM1"
"653","R3HDM1"
"654","LRP1B"
"655","LRP1B"
"656","ARHGAP15"
"657","LOC101929319"
"658","PKP4-AS1"
"659","SCN7A"
"660","LRP2"
"661","TLK1"
"662","PDE11A"
"663","PDE11A"
"664","PDE11A"
"665","INPP1"
"666","RFTN2"
"667","ERBB4"
"668","LINC01494"
"669","SLC4A3"
"670","SPHKAP"
"671","SPHKAP"
"672","PDE6D"
"673","HJURP"
"674","LINC01173"
"675","ARL8B"
"676","ARL8B"
"677","ARL8B"
"678","ARL8B"
"679","LINC01980"
"680","MOBP"
"681","CCDC13-AS1"
"682","KIF9-AS1"
"683","SMARCC1"
"684","P4HTM"
"685","SUCLG2"
"686","GBE1"
"687","GBE1"
"688","GBE1"
"689","GBE1"
"690","ARL6"
"691","GPR156"
"692","STXBP5L"
"693","KALRN"
"694","COPG1"
"695","BFSP2-AS1"
"696","CEP63"
"697","LEKR1"
"698","ZBBX"
"699","TNIK"
"700","LINC00578"
"701","STK32B"
"702","EVC2"
"703","SLC2A9"
"704","LINC00504"
"705","C1QTNF7-AS1"
"706","LDB2"
"707","KCNIP4"
"708","PPARGC1A"
"709","DTHD1"
"710","RHOH"
"711","UCHL1-AS1"
"712","GRXCR1"
"713","LINC02232"
"714","UGT2B17"
"715","CXCL8"
"716","LOC100507053"
"717","ENPEP"
"718","ANK2"
"719","FAT4"
"720","SLC25A31"
"721","SCLT1"
"722","ARHGAP10"
"723","PALLD"
"724","GALNTL6"
"725","STOX2"
"726","FRG1-DT"
"727","LINC01194"
"728","LINC02220"
"729","LINC02211"
"730","RAI14"
"731","FYB1"
"732","LINC01948"
"733","LINC02101"
"734","ANKRD31"
"735","ATG10"
"736","NBPF22P"
"737","NR2F1-AS1"
"738","VTRNA2-1"
"739","SPOCK1"
"740","CTNNA1"
"741","TENM2"
"742","SLIT3"
"743","GMDS"
"744","CDYL"
"745","NEDD9"
"746","CASC15"
"747","CLIC5"
"748","ADGRF5"
"749","ADGRF2"
"750","PTCHD4"
"751","PKHD1"
"752","KHDRBS2"
"753","LGSN"
"754","KCNQ5-IT1"
"755","ATG5"
"756","MTRES1"
"757","MTRES1"
"758","MTRES1"
"759","PDSS2"
"760","METTL24"
"761","THEMIS"
"762","PPP1R14C"
"763","PPP1R14C"
"764","CARD11"
"765","LOC101927354"
"766","MGC4859"
"767","VWDE"
"768","INMT-MINDY4"
"769","TBX20"
"770","LOC401324"
"771","ELMO1"
"772","ELMO1"
"773","CDK13"
"774","HECW1"
"775","AUTS2"
"776","SEMA3C"
"777","SEMA3C"
"778","FAM200A"
"779","FAM200A"
"780","FAM200A"
"781","FAM200A"
"782","FAM200A"
"783","SH2B2"
"784","RELN"
"785","ATXN7L1"
"786","ZNF277"
"787","GRM8"
"788","TMEM209"
"789","LINC-PINT"
"790","UBN2"
"791","ACTR3C"
"792","CSMD1"
"793","MICU3"
"794","PSD3"
"795","CSGALNACT1"
"796","XPO7"
"797","SCARA5"
"798","NRG1"
"799","NRG1"
"800","NRG1"
"801","KCNU1"
"802","MIR1268A"
"803","LINC01605"
"804","RP1"
"805","XKR4"
"806","LYN"
"807","CLVS1"
"808","NKAIN3"
"809","ARFGEF1"
"810","NCOA2"
"811","RIPK2"
"812","LAPTM4B"
"813","LAPTM4B"
"814","NCALD"
"815","LOC105375683"
"816","RIMS2"
"817","EBAG9"
"818","LINC00536"
"819","ATAD2"
"820","DMRT1"
"821","LINC01231"
"822","KIAA2026"
"823","TTC39B"
"824","LOC101929563"
"825","LINGO2"
"826","UBAP2"
"827","TLN1"
"828","GNE"
"829","ABCA1"
"830","MAPKAP1"
"831","CAMK1D"
"832","FRMD4A"
"833","FRMD4A"
"834","MALRD1"
"835","KIAA1217"
"836","KIAA1217"
"837","KIAA1217"
"838","GPR158"
"839","GPR158"
"840","PDSS1"
"841","ANKRD26"
"842","LINC02652"
"843","ZNF438"
"844","ZNF33A"
"845","CTNNA3"
"846","CTNNA3"
"847","PLCE1"
"848","DNHD1"
"849","DENND2B"
"850","SERGEF"
"851","PRMT3"
"852","MPPED2"
"853","CSTF3-DT"
"854","SLC1A2"
"855","EXT2"
"856","LOC440040"
"857","NEAT1"
"858","FZD4-DT"
"859","TMEM123"
"860","MMP10"
"861","ARHGAP20"
"862","NRGN"
"863","KIRREL3"
"864","ETS1"
"865","YBX3"
"866","SLC15A5"
"867","PIK3C2G"
"868","MUC19"
"869","MON2"
"870","PPM1H"
"871","MDM2"
"872","PPFIA2"
"873","LOC643339"
"874","CRADD"
"875","TMCC3"
"876","CHST11"
"877","KCTD10"
"878","ATP8A2"
"879","HMGB1"
"880","RFC3"
"881","NDFIP2"
"882","LINC00333"
"883","GPC5"
"884","TMCO3"
"885","SLC7A7"
"886","C14orf93"
"887","LOC728755"
"888","HEATR5A"
"889","PRORP"
"890","LRFN5"
"891","NEMF"
"892","SLC8A3"
"893","DPF3"
"894","DLST"
"895","TTLL5"
"896","IFT43"
"897","DGLUCY"
"898","TJP1"
"899","CDIN1"
"900","CCDC32"
"901","INO80"
"902","TMEM62"
"903","LOC105370802"
"904","ATP8B4"
"905","CGNL1"
"906","GCOM1"
"907","SEC11A"
"908","AGBL1"
"909","CHD2"
"910","XYLT1"
"911","HS3ST4"
"912","CYLD"
"913","CES1P1"
"914","LOC101928417"
"915","CDH13"
"916","SERPINF2"
"917","RTN4RL1"
"918","CA10"
"919","STXBP4"
"920","BCAS3"
"921","METTL2A"
"922","RNF213"
"923","RNF213"
"924","RNF213"
"925","CHST9"
"926","RIT2"
"927","RIT2"
"928","CTIF"
"929","CTIF"
"930","CTIF"
"931","LINC01924"
"932","TMX3"
"933","PARD6G-AS1"
"934","TJP3"
"935","VAV1"
"936","INSR"
"937","IER2"
"938","CACNA1A"
"939","HAMP"
"940","CD22"
"941","SSC5D"
"942","ZNF264"
"943","CSNK2A1"
"944","FASTKD5"
"945","DDRGK1"
"946","PLCB1"
"947","MACROD2"
"948","MACROD2"
"949","MACROD2"
"950","MACROD2"
"951","MACROD2"
"952","SCP2D1-AS1"
"953","ARHGAP40"
"954","LOC100128988"
"955","LOC100128988"
"956","JPH2"
"957","KCNK15-AS1"
"958","EYA2"
"959","PTGIS"
"960","CDH4"
"961","LINC01692"
"962","TTC28"
"963","EIF3L"
"964","PADI3"
"965","RUNX3"
"966","PTPRU"
"967","ZBTB8A"
"968","SMAP2"
"969","ZSWIM5"
"970","AGBL4"
"971","AGBL4"
"972","LINC01358"
"973","PATJ"
"974","LRRC7"
"975","ADGRL2"
"976","EVI5"
"977","CLCC1"
"978","WNT2B"
"979","HAO2"
"980","PRPF3"
"981","KCNN3"
"982","FCGR2B"
"983","RABGAP1L"
"984","LOC107985246"
"985","TRAF5"
"986","USH2A"
"987","USH2A"
"988","USH2A"
"989","MIR548F3"
"990","EPRS1"
"991","RPS7P5"
"992","RGS7"
"993","EXO1"
"994","EFCAB2"
"995","SNTG2"
"996","LINC00299"
"997","GRHL1"
"998","NBAS"
"999","WDR35"
"1000","ATAD2B"
"1001","BABAM2"
"1002","LBH"
"1003","LTBP1"
"1004","LINC01317"
"1005","NRXN1"
"1006","ACYP2"
"1007","LRRTM4"
"1008","DPP10"
"1009","LRP1B"
"1010","LRP1B"
"1011","LRP1B"
"1012","LRP1B"
"1013","MBD5"
"1014","GPD2"
"1015","SLC4A10"
"1016","MYO3B"
"1017","FRZB"
"1018","GULP1"
"1019","SLC39A10"
"1020","DNAH7"
"1021","PARD3B"
"1022","EPHA4"
"1023","INPP5D"
"1024","CHL1"
"1025","SLC6A11"
"1026","TBC1D5"
"1027","THRB"
"1028","RARB"
"1029","DNAH1"
"1030","FHIT"
"1031","FHIT"
"1032","SYNPR"
"1033","SUCLG2-AS1"
"1034","TAFA1"
"1035","UROC1"
"1036","EEFSEC"
"1037","COL6A5"
"1038","COL6A6"
"1039","BFSP2-AS1"
"1040","EPHB1"
"1041","ARHGEF26"
"1042","VEPH1"
"1043","SHOX2"
"1044","TRIM59-IFT80"
"1045","TRIM59-IFT80"
"1046","MECOM"
"1047","NLGN1"
"1048","NAALADL2"
"1049","NAALADL2"
"1050","LOC101928882"
"1051","DGKG"
"1052","FGF12"
"1053","MUC4"
"1054","FAM193A"
"1055","LINC00504"
"1056","KCNIP4"
"1057","ZCCHC4"
"1058","STIM2"
"1059","PCDH7"
"1060","APBB2"
"1061","LIMCH1"
"1062","AASDH"
"1063","ADGRL3"
"1064","CXCL13"
"1065","CFAP299"
"1066","GPAT3"
"1067","CCSER1"
"1068","CCSER1"
"1069","CCSER1"
"1070","C4orf54"
"1071","BANK1"
"1072","TBCK"
"1073","ANK2"
"1074","NDST3"
"1075","IL21-AS1"
"1076","LRBA"
"1077","PDGFC"
"1078","FBXO8"
"1079","LINC02365"
"1080","LINC02114"
"1081","ADAMTS16"
"1082","CTNND2"
"1083","DNAH5"
"1084","TRIO"
"1085","LINC02150"
"1086","LINC02223"
"1087","CDH12"
"1088","NPR3"
"1089","LINC02107"
"1090","ARL15"
"1091","DDX4"
"1092","PDE4D"
"1093","ARHGEF28"
"1094","LOC101929154"
"1095","NR2F1-AS1"
"1096","KIAA0825"
"1097","EFNA5"
"1098","ATG12"
"1099","IRF1-AS1"
"1100","NRG2"
"1101","STK32A-AS1"
"1102","LINC01202"
"1103","GABRG2"
"1104","DSP"
"1105","ZSCAN16-AS1"
"1106","TRIM26"
"1107","SRPK1"
"1108","MAPK14"
"1109","CD2AP"
"1110","PKHD1"
"1111","GCLC"
"1112","KHDRBS2"
"1113","EYS"
"1114","TSG1"
"1115","MMS22L"
"1116","HACE1"
"1117","AFG1L"
"1118","CCDC162P"
"1119","STXBP5-AS1"
"1120","SAMD5"
"1121","SYNE1"
"1122","IGF2R"
"1123","PRKN"
"1124","SUN1"
"1125","MGC4859"
"1126","LINC01162"
"1127","IGF2BP3"
"1128","BBS9"
"1129","SUGCT"
"1130","LOC641746"
"1131","AUTS2"
"1132","CALN1"
"1133","KRIT1"
"1134","CUX1"
"1135","LHFPL3"
"1136","DOCK4"
"1137","ST7"
"1138","FLJ40288"
"1139","CNTNAP2"
"1140","ZNF862"
"1141","GIMAP1-GIMAP5"
"1142","LOC105377785"
"1143","CSMD1"
"1144","MCPH1"
"1145","NRG1"
"1146","BAG4"
"1147","ADAM32"
"1148","ADAM2"
"1149","IKBKB"
"1150","STAU2"
"1151","FLJ46284"
"1152","LINC00535"
"1153","MAILR"
"1154","RIMS2"
"1155","RIMS2"
"1156","RIMS2"
"1157","RIMS2"
"1158","SAMD12"
"1159","LINC00861"
"1160","TMEM71"
"1161","TSNARE1"
"1162","RCL1"
"1163","GLDC"
"1164","PTPRD"
"1165","LINGO2"
"1166","LINGO2"
"1167","LOC101927575"
"1168","GALNT12"
"1169","STX17"
"1170","LPAR1"
"1171","SETX"
"1172","CACNA1B"
"1173","AKR1C8P"
"1174","PROSER2"
"1175","MALRD1"
"1176","MALRD1"
"1177","NEBL"
"1178","MTRNR2L7"
"1179","WDFY4"
"1180","PBLD"
"1181","PALD1"
"1182","USP54"
"1183","KCNMA1-AS1"
"1184","GRID1"
"1185","ARMH3"
"1186","SORCS1"
"1187","SORCS1"
"1188","SORCS1"
"1189","ATRNL1"
"1190","DOCK1"
"1191","ANO3"
"1192","MAP4K2"
"1193","P2RY6"
"1194","DLG2"
"1195","DLG2"
"1196","DLG2"
"1197","LOC105369438"
"1198","CARD18"
"1199","GRIA4"
"1200","NCAM1"
"1201","KIRREL3"
"1202","NTM"
"1203","NTM"
"1204","ERC1"
"1205","TULP3"
"1206","TSPAN9"
"1207","ANO2"
"1208","ANO2"
"1209","LRP6"
"1210","CFAP94"
"1211","RASSF8"
"1212","ALG10"
"1213","SYT1"
"1214","ACSS3"
"1215","SLC6A15"
"1216","KITLG"
"1217","CFAP54"
"1218","ANO4"
"1219","ANO4"
"1220","NAA25"
"1221","RPH3A"
"1222","TBX5-AS1"
"1223","DDX55"
"1224","TMEM132B"
"1225","LINC00508"
"1226","LINC00508"
"1227","LINC00508"
"1228","NBEA"
"1229","LINC00550"
"1230","LINC00348"
"1231","GPC5"
"1232","GPC5"
"1233","NALCN-AS1"
"1234","FGF14"
"1235","MCF2L"
"1236","PCID2"
"1237","GRK1"
"1238","RNF212B"
"1239","RALGAPA1"
"1240","PELI2"
"1241","PRKCH"
"1242","PRKCH"
"1243","SYT16"
"1244","SYT16"
"1245","KCNH5"
"1246","KCNH5"
"1247","RBM25"
"1248","NRXN3"
"1249","LINC02291"
"1250","GABRG3"
"1251","FAM189A1"
"1252","FAM189A1"
"1253","FAM189A1"
"1254","LOC100130111"
"1255","FRMD5"
"1256","ONECUT1"
"1257","CGNL1"
"1258","THSD4"
"1259","LINGO1"
"1260","IL16"
"1261","RHCG"
"1262","LINC02254"
"1263","TARS3"
"1264","HS3ST4"
"1265","TEPP"
"1266","ZFHX3"
"1267","CFDP1"
"1268","CNTNAP4"
"1269","VAT1L"
"1270","LOC102724084"
"1271","PLCG2"
"1272","ITGAE"
"1273","GAS7"
"1274","SLC47A2"
"1275","SPAG5"
"1276","ASIC2"
"1277","PLEKHM1"
"1278","LINC02210-CRHR1"
"1279","MAPT-AS1"
"1280","COPZ2"
"1281","LOC105371814"
"1282","CA10"
"1283","ANKFN1"
"1284","ANKFN1"
"1285","ANKFN1"
"1286","MTMR4"
"1287","PITPNC1"
"1288","LINC01973"
"1289","DLGAP1-AS4"
"1290","DLGAP1"
"1291","DLGAP1"
"1292","LINC00907"
"1293","DCC"
"1294","ONECUT2"
