,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
5919_C4,0.20358469,0.13795064,0.14154194,0.101780936,0.846494,0.17447996,0.14059559,0.07233558,0.11031289,0.08407226,0.19030723,0.1379017,0.032857608,0.06490132,0.17979823,0.19827528,0.1327364,0.16973275,0.19623171,0.15869212,0.085877046,0.08080928,0.109229825,0.1453714,0.12957191,0.076423004,0.18261571,0.15237288,0.12811778,0.0724544,0.13125338,0.079184905,0.0824479,0.09286365,0.1642282,0.020743104,0.18958123,0.1906173,0.077509,0.07814449,0.16533467,0.17689905,0.14720188,0.15922806,0.13568069,0.19478686,0.109596625,0.13605233,0.14431044,0.038391728,0.1452638,0.0641954,0.072648294,0.077788,0.0976521,0.12164906,0.118814655,0.053071976,0.052906513,0.13734555,0.11613291,0.085276924,0.12924412,0.06460742,0.17367144,0.09293884,0.06908138,0.047302898,0.09360954,0.07199145,0.12775418,0.0894245
5919_D2,0.24829744,0.11762808,0.15902066,0.08659996,0.7191882,0.09546478,0.108952336,0.11637887,0.08035108,0.07169559,0.3349246,0.12834635,0.037215058,0.05954232,0.08176497,0.1422005,0.12953156,0.08823058,0.1625561,0.12353534,0.055217113,0.10287796,0.11220615,0.08549751,0.06531994,0.030880982,0.13940777,0.12703757,0.08822991,0.04841154,0.058529958,0.08467369,0.10724163,0.10934577,0.1128013,0.02683694,0.108638644,0.13746527,0.07271778,0.06304262,0.15319446,0.13136452,0.10639491,0.13763954,0.27581817,0.18659788,0.09705268,0.11491719,0.13841663,0.093164794,0.06287467,0.05685455,0.08967425,0.084380545,0.085989475,0.10274367,0.09715177,0.072733834,0.059884008,0.07346522,0.08365919,0.0321734,0.13693175,0.0775736,0.16637306,0.071743384,0.06933718,0.026241131,0.064934224,0.050769564,0.06050477,0.0960883
5919_E3,0.27019528,0.13229544,0.1961279,0.10964437,0.9232673,0.14446022,0.13113531,0.09882362,0.04985315,0.047366153,0.10476502,0.12642907,0.08683445,0.06476868,0.069574356,0.18080187,0.101740934,0.10162564,0.16625926,0.11963578,0.071954675,0.11919277,0.11956778,0.16147298,0.07337216,0.06748002,0.15580356,0.20134504,0.1060186,0.045102734,0.10249917,0.08966997,0.112895265,0.114792615,0.1618842,0.047381457,0.13698488,0.10987528,0.10124389,0.07795499,0.19080839,0.14969054,0.08186542,0.1428776,0.21414381,0.19509286,0.09385248,0.1428188,0.16051278,0.07352656,0.06792414,0.06579839,0.06038024,0.08740362,0.06423814,0.072036,0.074156344,0.061325993,0.07198755,0.043373376,0.08896014,0.049662918,0.12672462,0.057460114,0.1592094,0.06932144,0.046245553,0.04123419,0.100990124,0.04730861,0.123228736,0.05221787
5919_F6,0.2369759,0.13305068,0.22659731,0.13165773,0.98610044,0.16110283,0.12752135,0.10986435,0.061688527,0.06947519,0.17620236,0.16416578,0.094045915,0.09235563,0.08447568,0.21364745,0.11297918,0.122599915,0.19044702,0.14348687,0.07766424,0.13502003,0.14201248,0.16818257,0.07552495,0.09020242,0.17844994,0.19044371,0.14502105,0.05324034,0.10673792,0.09791244,0.10982773,0.14129904,0.18289723,0.043330148,0.18386243,0.12423128,0.12334088,0.100017495,0.19536386,0.18811905,0.09901279,0.17508656,0.22309488,0.20225747,0.10432196,0.16209637,0.16867736,0.07937504,0.104052484,0.06054014,0.079284415,0.09923997,0.077048935,0.0863075,0.07456119,0.07252328,0.07214912,0.062567845,0.09715067,0.04745056,0.15310372,0.060137194,0.19228554,0.07290132,0.057182737,0.049689937,0.116623916,0.057180062,0.14157665,0.06965348
5828_C2,0.13310985,0.16651192,0.13406253,0.12361919,0.6306528,0.14461242,0.29731712,0.1954385,0.102299914,0.119644724,0.11062445,0.12491383,0.0716377,0.049215592,0.08583351,0.16169381,0.109324574,0.10113472,0.17849746,0.105060086,0.09826839,0.1028983,0.090238996,0.116647445,0.07937425,0.03549746,0.14976636,0.1758477,0.06047754,0.048038468,0.09602407,0.05871785,0.12995094,0.12923056,0.11983905,0.02333593,0.10245621,0.16506551,0.04965278,0.073872805,0.17622311,0.13516432,0.12351336,0.14021817,0.2685548,0.19918528,0.09517583,0.15327555,0.13078651,0.08101961,0.0686404,0.06251308,0.0750238,0.09195482,0.09233238,0.07208424,0.12378926,0.07575125,0.07450678,0.0669849,0.102194324,0.06697347,0.12125315,0.06763726,0.12857081,0.11050224,0.040588964,0.056137986,0.06213972,0.05953811,0.06999807,0.056875195
5828_G2,0.24851577,0.10899301,0.17612328,0.110661335,0.88833654,0.1222666,0.1375776,0.11257856,0.06313293,0.065044306,0.21976699,0.12509885,0.06323433,0.05649638,0.07665885,0.17478782,0.0980791,0.101629406,0.16130434,0.12106773,0.064993314,0.108989485,0.11863808,0.13133597,0.06666188,0.046002876,0.1619389,0.19134113,0.102523424,0.048796482,0.08050204,0.08860912,0.100791655,0.12226586,0.17879787,0.03727613,0.13140194,0.11700934,0.10249558,0.07904647,0.17759226,0.14823599,0.08092551,0.14176175,0.2094994,0.19061609,0.099887766,0.12670253,0.15827423,0.071884476,0.06155158,0.061522022,0.08093406,0.08599529,0.09060636,0.07855653,0.08782436,0.07807455,0.06905875,0.040317073,0.09291198,0.038823307,0.13703696,0.060238387,0.16769703,0.08408784,0.05089169,0.036499232,0.09815194,0.05825627,0.10117527,0.07131388
5657_D1,0.16147867,0.12555812,0.17949592,0.11657106,0.9308976,0.12233761,0.11485138,0.11108234,0.07579322,0.071356975,0.29525882,0.10937981,0.05198036,0.056213155,0.06885485,0.19268508,0.14519957,0.1279596,0.16420819,0.13847014,0.07054664,0.13142414,0.12292156,0.11502677,0.0825192,0.046400644,0.13882767,0.1392615,0.10645346,0.060027793,0.06976811,0.0910337,0.08150554,0.12230226,0.1527621,0.017670417,0.13544951,0.12342024,0.09944803,0.102495775,0.16306445,0.1697719,0.08138605,0.16815774,0.14231516,0.18072315,0.10714262,0.11578773,0.12013518,0.05513315,0.09907477,0.05650309,0.100323014,0.07858708,0.105655126,0.07251016,0.088734105,0.088307016,0.05056448,0.046135124,0.09951238,0.02305036,0.11052541,0.066793986,0.18802406,0.09002624,0.058386408,0.027596839,0.09555459,0.053870805,0.105547465,0.0938831
5657_H1,0.316887,0.1046348,0.17123124,0.06396939,0.97129077,0.12442797,0.11127967,0.08578677,0.057456557,0.030281391,0.07086739,0.11642678,0.06281406,0.056260906,0.054072734,0.1531761,0.099993825,0.10962211,0.17362364,0.105785124,0.078603774,0.11031334,0.11803382,0.11484794,0.08887903,0.0613758,0.12128995,0.14794438,0.08608322,0.05524115,0.088529274,0.08141286,0.08263864,0.08666513,0.120833956,0.029543512,0.116662554,0.11110401,0.074802816,0.077208795,0.14646305,0.15185425,0.080318354,0.1368375,0.14375608,0.17120853,0.088837355,0.1258115,0.12271716,0.053339984,0.06754253,0.062441874,0.06317573,0.06161845,0.0531663,0.06783418,0.051452816,0.04602855,0.07646555,0.046148952,0.08866637,0.03214636,0.09069641,0.041955397,0.15716343,0.059123285,0.03888239,0.016398337,0.08678315,0.018321406,0.12633112,0.069333054
1363_A4,0.2287867,0.1229191,0.14877415,0.077185005,0.8424605,0.17833626,0.16065986,0.100397274,0.11438508,0.07225161,0.11563528,0.156775,0.053745497,0.091297984,0.17963713,0.18031494,0.12293875,0.13508604,0.21799012,0.13917468,0.08430334,0.10956349,0.10372575,0.18482408,0.13680749,0.09177518,0.18799563,0.14837122,0.15154578,0.06600841,0.15057415,0.084822744,0.11489739,0.09088734,0.1389067,0.044004,0.25188285,0.19221723,0.07851609,0.06688659,0.20498985,0.20427822,0.15398341,0.1585388,0.17698902,0.1864198,0.1309701,0.18022229,0.1478446,0.07485096,0.15497848,0.06326575,0.056928314,0.08283014,0.071121916,0.11310652,0.08516761,0.050382193,0.05976422,0.13435714,0.10471703,0.07801712,0.15822057,0.052427556,0.25483215,0.08930131,0.06315524,0.051256843,0.11436212,0.048865516,0.12896025,0.10602799
1363_D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
