,Classification
5919_66,0.51698714
5919_76,0.9651262
5919_86,0.64195186
5828_16,0.4823068
5828_26,0.9992908
5828_36,0.88321143
5828_46,0.54975355
5828_56,0.972901
5828_66,0.7047298
5828_76,0.8892503
5828_86,0.9860189
5657_16,0.9527293
5657_26,0.99991584
5657_36,0.34769237
5657_46,0.97544503
5657_56,0.9999989
5657_66,0.7578243
5657_76,0.99994826
5657_86,0.9993998
4402_17,0.5009225
4402_27,0.77485263
4402_37,1.4653592e-20
4402_47,0.99999416
4402_57,0.007357129
4402_67,0.0011907014
4402_77,0.012664508
4402_87,0.0063811815
1864_17,3.969847e-29
1864_27,0.025565594
1864_37,0.49972966
1864_47,4.0597477e-08
1864_57,0.29608035
1864_67,0.0045197904
1864_77,0.0012873717
1864_87,0.9999075
6032_17,0.5208836
6032_27,0.11011353
6032_37,0.999979
6032_47,0.026809156
6032_57,0.9891978
6032_67,0.9948303
6032_77,0.009084179
6032_87,0.100226425
4638_17,0.41303492
4638_27,0.9636227
4638_37,0.99999785
4638_47,0.0033805908
4638_57,0.37336534
4638_67,0.772985
4638_77,0.68823916
4638_87,0.19458735
1039_17,3.6282232e-13
1039_27,0.07127651
1039_37,0.9999962
1039_47,0.0077068084
1039_57,0.0056389268
1039_67,0.0009971333
1039_77,0.00268786
1039_87,0.9935899
5919_17,0.045686886
5919_27,0.9738385
5919_37,0.9900316
5919_47,0.9610733
5919_57,0.17486477
5919_67,0.087624796
5919_77,0.94592816
5919_87,0.6947782
5828_17,0.5032096
5828_27,0.006707798
5828_37,0.835425
5828_47,0.5098291
5828_57,0.023374097
5828_67,0.8833203
5828_77,0.98787594
5828_87,0.9790785
5657_17,0.96947855
5657_27,0.46536675
5657_37,0.99648094
5657_47,0.8957176
5657_57,0.98134977
5657_67,0.6570683
5657_77,0.99796677
5657_87,0.99915636
4402_18,0.11011353
4402_28,6.716742e-09
4402_38,0.9992785
4402_48,2.7018982e-06
4402_58,1.4505663e-05
4402_68,0.9996245
4402_78,0.86760956
4402_88,0.93465185
1864_18,0.11011353
1864_28,4.840763e-11
1864_38,0.5132253
1864_48,6.9371264e-19
1864_58,0.9999403
1864_68,0.00024161674
1864_78,3.8993846e-07
1864_88,0.99852544
6032_18,1.158032e-09
6032_28,0.11011353
6032_38,0.03828481
6032_48,0.9931231
6032_58,0.7917223
6032_68,0.9348114
6032_78,0.5063364
6032_88,0.22388437
4638_18,0.7946298
4638_28,0.13632232
4638_38,1.3270626e-06
4638_48,0.99791044
4638_58,0.00015845799
4638_68,0.070992485
4638_78,0.9999988
4638_88,0.8433314
1039_18,0.0007827727
1039_28,3.9608434e-08
1039_38,0.0069472454
1039_48,0.99321944
1039_58,4.9365707e-07
1039_68,0.00014557593
1039_78,0.97498125
1039_88,0.05197294
5919_18,0.9931397
5919_28,6.9555594e-05
5919_38,0.9997682
5919_48,0.91592467
5919_58,0.966659
5919_68,0.9941445
5919_78,0.98721373
5919_88,0.98832357
5828_18,0.30732444
5828_28,0.9932482
5828_38,0.9995029
5828_48,0.95918936
5828_58,0.99745196
5828_68,0.9804951
5828_78,0.9951934
5828_88,0.9109962
5657_18,0.9539673
5657_28,0.94806576
5657_38,0.64225626
5657_48,0.775467
5657_58,0.9990896
5657_68,0.9901918
5657_78,0.9918172
5657_88,0.98626035
4402_19,1.1128796e-11
4402_29,1.0
4402_39,3.5935733e-07
4402_49,0.5279069
4402_59,0.013733625
4402_69,0.052446563
4402_79,1.568077e-05
4402_89,0.99933416
1864_19,6.7162804e-09
1864_29,9.305767e-08
1864_39,0.52088016
1864_49,1.3542798e-06
1864_59,2.1796587e-09
1864_69,0.00794656
1864_79,0.9723517
1864_89,0.9336045
6032_19,0.99904794
6032_29,0.11011353
6032_39,0.995946
6032_49,1.5184741e-05
6032_59,0.0015221767
6032_69,0.47552592
6032_79,0.0603451
6032_89,0.5275255
4638_19,0.91394234
4638_29,0.0060044355
4638_39,0.99998546
4638_49,0.51588786
4638_59,0.28038454
4638_69,0.052592076
4638_79,0.023853619
4638_89,0.98149604
1039_19,9.601457e-08
1039_29,0.9999887
1039_39,0.99989057
1039_49,0.99699056
1039_59,0.004657486
1039_69,0.0067632934
1039_79,0.0038841704
1039_89,0.0005318117
5919_19,0.99256
5919_29,0.98086596
5919_39,0.01940369
5919_49,0.99063444
5919_59,0.9032123
5919_69,0.0103516765
5919_79,0.9750572
5919_89,0.957254
5828_19,0.10819712
5828_29,0.038779534
5828_39,3.65834e-05
5828_49,0.74759203
5828_59,0.96965426
5828_69,0.9929011
5828_79,0.0011228209
5828_89,0.9923207
5657_19,0.9472717
5657_29,0.9715827
5657_39,0.85561335
5657_49,0.4715558
5657_59,0.9963477
5657_69,0.16111672
5657_79,0.9998894
5657_89,0.9970092
4402_110,0.20579612
4402_210,0.11011353
4402_310,2.0854915e-11
4402_410,0.017964073
4402_510,1.0
4402_610,0.0009447973
4402_710,0.5013599
4402_810,0.99994206
1864_110,0.11011353
1864_210,0.11011353
1864_310,0.92958504
1864_410,0.9505591
1864_510,4.3052996e-06
1864_610,0.814298
1864_710,0.0029228688
1864_810,0.00016221308
6032_110,0.11011353
6032_210,0.11011353
6032_310,0.1915986
6032_410,0.98666465
6032_510,0.9713169
6032_610,0.99995685
6032_710,0.33099067
6032_810,0.63739175
4638_110,0.46395034
4638_210,0.90825343
4638_310,0.00051615125
4638_410,0.99894136
4638_510,0.15818189
4638_610,0.006937942
4638_710,0.9988689
4638_810,0.9830692
1039_110,0.99999547
1039_210,0.0026433116
1039_310,0.998816
1039_410,0.53308606
1039_510,0.37524247
1039_610,0.9999826
1039_710,0.9073875
1039_810,0.004376544
5919_110,0.0027508484
5919_210,0.0052120746
5919_310,0.13129592
5919_410,0.99950445
5919_510,0.9988765
5919_610,0.999803
5919_710,0.9834884
5919_810,0.10519379
5828_110,0.99799913
5828_210,0.9570002
5828_310,0.86762327
5828_410,0.91271794
5828_510,0.99987376
5828_610,0.9627906
5828_710,0.99952996
5828_810,0.99064153
5657_110,0.7063512
5657_210,0.540268
5657_310,0.99927443
5657_410,0.9886656
5657_510,0.9999056
5657_610,0.9889053
5657_710,0.96851796
5657_810,0.99749243
4402_111,0.11011353
4402_211,0.43968365
4402_311,4.8409287e-11
4402_411,0.9999132
4402_511,0.008742036
4402_611,9.208359e-05
4402_711,0.97296494
4402_811,0.9874713
1864_111,0.11011353
1864_211,0.11011353
1864_311,4.8391378e-11
1864_411,2.1705329e-08
1864_511,1.4578319e-05
1864_611,0.0022660268
1864_711,0.9995165
1864_811,0.75146145
6032_111,3.3556453e-06
6032_211,0.11011353
6032_311,0.94359225
6032_411,0.9922476
6032_511,7.0290175e-06
6032_611,0.060225952
6032_711,0.99191356
6032_811,0.089578815
4638_111,0.90800333
4638_211,0.9999988
4638_311,0.0011546672
4638_411,0.91567624
4638_511,0.9423523
4638_611,0.018971078
4638_711,0.43231368
4638_811,0.38579413
1039_111,0.11011353
1039_211,0.00021550327
1039_311,0.00016942028
1039_411,0.0007111287
1039_511,1.7360724e-05
1039_611,0.00791262
1039_711,0.08658642
1039_811,0.35218367
5919_111,0.99997795
5919_211,0.93257713
5919_311,0.011085524
5919_411,0.99753165
5919_511,0.9962903
5919_611,0.95218736
5919_711,0.9991141
5919_811,0.9750518
5828_111,1.0675598e-05
5828_211,0.6626729
5828_311,0.41421023
5828_411,0.09244586
5828_511,0.99470633
5828_611,0.9690253
5828_711,0.9961861
5828_811,0.96343553
5657_111,0.9999857
5657_211,0.0121758925
5657_311,0.96996146
5657_411,0.99903023
5657_511,0.9978617
5657_611,0.012676392
5657_711,0.9746805
5657_811,0.996986
4402_112,0.11011353
4402_212,0.11011353
4402_312,0.999064
4402_412,0.14604126
4402_512,0.62515175
4402_612,1.4669669e-07
4402_712,3.475777e-07
4402_812,0.017918587
1864_112,0.11011353
1864_212,0.015850775
1864_312,0.3322627
1864_412,1.1734135e-07
1864_512,0.504789
1864_612,0.13516544
1864_712,0.9416982
1864_812,0.9357256
6032_112,0.4238958
6032_212,0.11011353
6032_312,7.362372e-07
6032_412,0.017685091
6032_512,0.14406358
6032_612,0.9999355
6032_712,0.9994336
6032_812,0.28848767
4638_112,0.9999988
4638_212,0.0027917787
4638_312,0.9990225
4638_412,0.9820779
4638_512,0.86601865
4638_612,0.96066
4638_712,0.04116112
4638_812,0.09686749
1039_112,0.56725615
1039_212,0.0029423805
1039_312,0.17810126
1039_412,0.9997718
1039_512,0.84563553
1039_612,0.0025861557
1039_712,0.90299445
1039_812,0.593136
5919_112,0.91532785
5919_212,0.036759358
5919_312,0.06267992
5919_412,0.97331357
5919_512,0.9167022
5919_612,0.9944912
5919_712,0.0026749643
5919_812,0.96118695
5828_112,0.38222563
5828_212,0.26326233
5828_312,0.9992888
5828_412,0.9997085
5828_512,0.9909986
5828_612,0.9627092
5828_712,0.9874895
5828_812,0.9947738
5657_112,8.264596e-07
5657_212,0.99999964
5657_312,0.10553274
5657_412,0.9982462
5657_512,0.0031276778
5657_612,0.928285
5657_712,0.8989258
5657_812,0.9993783
4402_113,4.3821693e-13
4402_213,1.1128774e-11
4402_313,0.5156236
4402_413,0.00054272136
4402_513,0.0077745607
4402_613,0.9098071
4402_713,0.9984819
4402_813,0.97040987
1864_113,3.470399e-09
1864_213,0.11011353
1864_313,4.377039e-21
1864_413,0.58609176
1864_513,0.8152552
1864_613,0.9076581
1864_713,4.9158432e-05
1864_813,4.9633366e-07
6032_113,1.7662052e-06
6032_213,0.11011353
6032_313,0.0051716105
6032_413,0.9959632
6032_513,0.96652657
6032_613,0.9343254
6032_713,0.007833432
6032_813,0.21688552
4638_113,0.9977471
4638_213,0.8672115
4638_313,0.002667444
4638_413,0.8095401
4638_513,0.2706747
4638_613,0.22465657
4638_713,0.28798538
4638_813,0.003968721
1039_113,9.8873635e-08
1039_213,0.004484734
1039_313,3.0540398e-10
1039_413,0.20212582
1039_513,0.99841774
1039_613,0.0016022132
1039_713,0.0018236709
1039_813,0.977075
5919_113,0.004228201
5919_213,0.9463268
5919_313,0.10094882
5919_413,0.999683
5919_513,0.9532379
5919_613,0.020719487
5919_713,0.96491766
5919_813,0.7673331
5828_113,0.9967752
5828_213,0.9927772
