ctype,sig,a0,a1
BRCA-US,SBS84,0,0
BRCA-US,SBS85,0,0
BRCA-US,SBS86,0,0
BRCA-US,SBS87,0,0
BRCA-US,SBS88,0,0
BRCA-US,SBS89,0,0
BRCA-US,SBS90,0,0
BRCA-US,Unknown,1.90140874198924E-05,-2.46626474621916E-07
BTCA-SG,SBS1,1.01032833474463E-05,-1.00174710716214E-07
BTCA-SG,SBS2,1.17823657148254E-05,-1.34284038569006E-07
BTCA-SG,SBS3,1.06179472619424E-06,-1.83297937032134E-08
BTCA-SG,SBS4,2.60255921758858E-06,-4.37160151209649E-08
BTCA-SG,SBS5,3.19465411705728E-05,-2.88964960124946E-07
BTCA-SG,SBS6,0,0
BTCA-SG,SBS7a,3.43632491084859E-07,-4.55469420118532E-09
BTCA-SG,SBS7b,3.2819228076693E-07,-4.35004115403564E-09
BTCA-SG,SBS7c,0,0
BTCA-SG,SBS7d,4.56687231531616E-07,-5.03186121316233E-09
BTCA-SG,SBS8,7.91086221526558E-06,-1.27475296230781E-07
BTCA-SG,SBS9,0,0
BTCA-SG,SBS10a,0,0
BTCA-SG,SBS10b,0,0
BTCA-SG,SBS11,0,0
BTCA-SG,SBS12,0,0
BTCA-SG,SBS13,5.02428269395147E-06,-6.2522952997671E-08
BTCA-SG,SBS14,0,0
BTCA-SG,SBS15,0,0
BTCA-SG,SBS16,0,0
BTCA-SG,SBS17a,0,0
BTCA-SG,SBS17b,0,0
BTCA-SG,SBS18,0,0
BTCA-SG,SBS19,-8.37264900233785E-08,2.99690021905707E-09
BTCA-SG,SBS20,0,0
BTCA-SG,SBS21,0,0
BTCA-SG,SBS22,0,0
BTCA-SG,SBS23,0,0
BTCA-SG,SBS24,0,0
BTCA-SG,SBS25,0,0
BTCA-SG,SBS26,0,0
BTCA-SG,SBS27,0,0
BTCA-SG,SBS28,0,0
BTCA-SG,SBS29,0,0
BTCA-SG,SBS30,0,0
BTCA-SG,SBS31,0,0
BTCA-SG,SBS32,0,0
BTCA-SG,SBS33,0,0
BTCA-SG,SBS34,0,0
BTCA-SG,SBS35,0,0
BTCA-SG,SBS36,0,0
BTCA-SG,SBS37,0,0
BTCA-SG,SBS38,2.31560317160039E-06,-2.78520092567945E-08
BTCA-SG,SBS39,0,0
BTCA-SG,SBS40,4.76170007290947E-06,-5.02620844358118E-08
BTCA-SG,SBS41,7.34734139752062E-06,-1.2252799268724E-07
BTCA-SG,SBS42,0,0
BTCA-SG,SBS43,0,0
BTCA-SG,SBS44,0,0
BTCA-SG,SBS45,0,0
BTCA-SG,SBS46,0,0
BTCA-SG,SBS47,0,0
BTCA-SG,SBS48,0,0
BTCA-SG,SBS49,0,0
BTCA-SG,SBS50,0,0
BTCA-SG,SBS51,1.11875448644942E-06,-1.93130917259904E-08
BTCA-SG,SBS52,0,0
BTCA-SG,SBS53,0,0
BTCA-SG,SBS54,0,0
BTCA-SG,SBS55,0,0
BTCA-SG,SBS56,0,0
BTCA-SG,SBS57,0,0
BTCA-SG,SBS58,0,0
BTCA-SG,SBS59,0,0
BTCA-SG,SBS60,0,0
BTCA-SG,SBS84,0,0
BTCA-SG,SBS85,0,0
BTCA-SG,SBS86,0,0
BTCA-SG,SBS87,0,0
BTCA-SG,SBS88,0,0
BTCA-SG,SBS89,0,0
BTCA-SG,SBS90,0,0
BTCA-SG,Unknown,8.00113094491146E-06,-1.01467681197825E-07
CESC-US,SBS1,8.85894413302429E-06,-1.03185241374568E-07
CESC-US,SBS2,2.10231964165638E-05,-1.45412509242928E-07
CESC-US,SBS3,0,0
CESC-US,SBS4,0,0
CESC-US,SBS5,2.41010915511381E-05,-1.99990054094114E-07
CESC-US,SBS6,0,0
CESC-US,SBS7a,0,0
CESC-US,SBS7b,0,0
CESC-US,SBS7c,0,0
CESC-US,SBS7d,0,0
CESC-US,SBS8,0,0
CESC-US,SBS9,0,0
CESC-US,SBS10a,0,0
CESC-US,SBS10b,0,0
CESC-US,SBS11,0,0
CESC-US,SBS12,0,0
CESC-US,SBS13,1.23634865713383E-05,-3.49781984469422E-08
CESC-US,SBS14,0,0
CESC-US,SBS15,0,0
CESC-US,SBS16,0,0
CESC-US,SBS17a,0,0
CESC-US,SBS17b,0,0
CESC-US,SBS18,0,0
CESC-US,SBS19,0,0
CESC-US,SBS20,0,0
CESC-US,SBS21,0,0
CESC-US,SBS22,0,0
CESC-US,SBS23,0,0
CESC-US,SBS24,0,0
CESC-US,SBS25,0,0
CESC-US,SBS26,0,0
CESC-US,SBS27,0,0
CESC-US,SBS28,0,0
CESC-US,SBS29,0,0
CESC-US,SBS30,0,0
CESC-US,SBS31,0,0
CESC-US,SBS32,0,0
CESC-US,SBS33,0,0
CESC-US,SBS34,0,0
CESC-US,SBS35,0,0
CESC-US,SBS36,0,0
CESC-US,SBS37,0,0
CESC-US,SBS38,0,0
CESC-US,SBS39,0,0
CESC-US,SBS40,0,0
CESC-US,SBS41,0,0
CESC-US,SBS42,0,0
CESC-US,SBS43,0,0
CESC-US,SBS44,0,0
CESC-US,SBS45,0,0
CESC-US,SBS46,0,0
CESC-US,SBS47,0,0
CESC-US,SBS48,0,0
CESC-US,SBS49,0,0
CESC-US,SBS50,0,0
CESC-US,SBS51,0,0
CESC-US,SBS52,0,0
CESC-US,SBS53,0,0
CESC-US,SBS54,0,0
CESC-US,SBS55,0,0
CESC-US,SBS56,0,0
CESC-US,SBS57,0,0
CESC-US,SBS58,0,0
CESC-US,SBS59,0,0
CESC-US,SBS60,0,0
CESC-US,SBS84,0,0
CESC-US,SBS85,0,0
CESC-US,SBS86,0,0
CESC-US,SBS87,0,0
CESC-US,SBS88,0,0
CESC-US,SBS89,0,0
CESC-US,SBS90,0,0
CESC-US,Unknown,2.09866399276937E-06,-3.19841254157516E-08
CLLE-ES,SBS1,2.01494018016177E-05,-2.35134568031199E-07
CLLE-ES,SBS2,0,0
CLLE-ES,SBS3,0,0
CLLE-ES,SBS4,0,0
CLLE-ES,SBS5,7.43480088310934E-05,-6.49013446924672E-07
CLLE-ES,SBS6,0,0
CLLE-ES,SBS7a,0,0
CLLE-ES,SBS7b,0,0
CLLE-ES,SBS7c,0,0
