Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS9,H3K36me3,1.39144826645649E-17,1,6.95724133228245E-18
SBS10a,H3K36me3,0.06390127465264,0.968093230562565,0.03195063732632
SBS10b,H3K36me3,9.70545118811454E-05,0.999951630239029,4.85272559405727E-05
SBS11,H3K36me3,1,0.977249868051821,0.5
SBS12,H3K36me3,1.95109959888172E-27,1,9.75549799440861E-28
SBS13,H3K36me3,0.001545428409418,0.000772714204709,0.99922745444444
SBS14,H3K36me3,6.19652192458866E-05,3.09826096229433E-05,0.999969334974089
SBS15,H3K36me3,4.72490623780294E-10,2.36245311890147E-10,0.999999999770878
SBS16,H3K36me3,2.98191728101607E-44,1.49095864050803E-44,1
SBS17a,H3K36me3,3.39995615525421E-31,1,1.6999780776271E-31
SBS17b,H3K36me3,4.12221799093833E-10,0.999999999794391,2.06110899546917E-10
SBS18,H3K36me3,1.82514426640376E-37,1,9.1257213320188E-38
SBS19,H3K36me3,0.128266328695347,0.064133164347674,0.936240202903669
SBS20,H3K36me3,0.479473714476657,0.761107338275589,0.239736857238328
SBS21,H3K36me3,0.038307714318695,0.981255555981773,0.019153857159348
SBS22,H3K36me3,1.14337520591194E-17,1,5.7168760295597E-18
SBS23,H3K36me3,1.20747404309546E-16,1,6.03737021547732E-17
SBS24,H3K36me3,NA,1,1
SBS25,H3K36me3,NA,1,1
SBS26,H3K36me3,0.508934762788154,0.746303808520029,0.254467381394077
SBS27,H3K36me3,NA,1,1
SBS28,H3K36me3,6.98142352970015E-18,1,3.49071176485008E-18
SBS29,H3K36me3,0.855132140584706,0.427566070292353,0.708058789614817
SBS30,H3K36me3,6.55326265307826E-05,3.27663132653913E-05,0.999967297376595
SBS31,H3K36me3,0.034610557515707,0.988752864388775,0.017305278757854
SBS32,H3K36me3,1.45534843900576E-08,0.999999993159257,7.27674219502878E-09
SBS33,H3K36me3,1,0.977249868051821,0.5
SBS34,H3K36me3,6.2134849850514E-05,3.1067424925257E-05,0.99996899361096
SBS35,H3K36me3,2.02474010849079E-27,1,1.0123700542454E-27
SBS36,H3K36me3,0.100522504164766,0.949800951945797,0.050261252082383
SBS37,H3K36me3,4.04833501649203E-38,1,2.02416750824602E-38
SBS38,H3K36me3,2.2730743495271E-07,0.99999988685852,1.13653717476355E-07
