Dataset,file_name,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
PCAWG_WG,532bec86-b8d3-41a1-ba17-913a7d378f66,1138.049885609,0,0,0,463.725475759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5922.59107167,8956.17315502,3399.8694093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11820.4191651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.171612681
PCAWG_WG,60525b38-c34b-479b-86d3-013c7e567b8f,0,0,0,0,12424.6776852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20183.90517,42917.455806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.9577103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190.0040242
PCAWG_WG,35eb6ecf-9514-4416-94b1-02200c0a1571,3884.35999032,0,0,0,4193.52097608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.368965792,1191.435713664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7791.24925968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661.065220632
PCAWG_WG,b53dcb4d-f894-47b8-8a4e-17c7998d8120,999.35381441,0,0,0,15757.32564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5057.60823575,14636.89388315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.093234125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.72584885
PCAWG_WG,35dc84c1-476c-4d48-ae23-622bf6e043ac,592.602165084,0,0,0,923.395701516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6372.61852956,14769.3029916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10609.75849344,929.485003536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.840405076
PCAWG_WG,9c00828e-e9ae-4b9c-959e-34837ee2b230,414.36114048,0,196.266341376,0,4591.5472288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845.6221504,5992.339584,651.669951296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003.6940832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.49968576
PCAWG_WG,48a0da38-8147-40fe-b683-3f070413a792,1844.959120224,0,0,0,3328.0236864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.24546416,1867.42263792,2423.9727456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8449.83572112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.541024752
PCAWG_WG,f2e639cc-c30c-459f-8afc-7ace7d0209c5,1417.93395235,0,0,0,5339.38526195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.88168093,941.20097832,2103.38745206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.955444345,422.960649695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.294399374
PCAWG_WG,cb381d49-4546-400c-af02-f877083caa0a,2538.59578242,0,0,0,4868.69409427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.67002629,4614.22889518,4470.2833281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572.57055458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.956924104
PCAWG_WG,77c022d3-2f29-49d3-a1df-cc2e9407fd7f,260.130012042,0,0,0,2113.04106822,0,0,0,0,0,0,0,0,0,0,0,88.487105652,0,0,0,0,0,110.530557468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277.59718216,161.21108532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.002693434
