Dataset,Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
Clonal,53df19a8-c623-11e3-bf01-24c6515278c0,0,0.010887404,0,0,0,0,0,0,0.08302625,0.028247932,0,0,0.093224585,0,0.059510272,0,0.029910078,0,0,0,0,0,0.056362998,0.05970503,0,0.094878964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04201211,0,0,0.010278003,0.01824895,0,0,0.11263327,0,0,0.032041438,0,0,0,0.048878275,0.08218426,0,0,0,0.13420531,0,0,0,0,0,0,0,0,0,0.0037648082,0.00036163555
Clonal,53e6a756-bdcc-4217-afe7-27d776159544,0.22784789,0,0,0,0.42064062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32855594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022955596,0.99518234
Clonal,54195db3-94a9-4538-8bb8-9953d936acd4,0.082685746,0.018476611,0.13175072,0,0.17651439,0,0,0,0,0,0.3714268,0,0,0,0,0,0.014392377,0,0,0,0,0,0.053162318,0,0,0,0.010002218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045656167,0.035836704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060095906,0.9994617
Clonal,541f91bd-7e9d-4348-9e78-45b948d8967e,0.07650594,0.029504176,0.11685195,0,0.49793074,0,0,0,0,0,0.04175073,0,0,0,0,0,0.019833809,0,0,0,0,0,0.021982701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016790576,0,0,0,0.110851,0.011000665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026659347,0,0,0,0,0,0,0,0,0,0.030338347,0.9992611
Clonal,54319e3d-c28f-4ba1-9c87-299d303e4de3,0.33352724,0,0,0,0.6139058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03623605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016330957,0.9933696
Clonal,54354d24-c622-11e3-bf01-24c6515278c0,0,0,0,0.013220884,0.47843295,0,0.012320798,0.020862112,0,0,0.014276202,0,0,0,0,0.06998504,0,0,0,0,0,0,0,0,0,0,0.2544338,0,0,0,0,0,0,0,0,0,0,0,0,0.10183138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034636855,0.643195
Clonal,54cfd4b0-c623-11e3-bf01-24c6515278c0,0,0,0,0.13427486,0.5244049,0,0,0,0,0,0,0,0,0,0,0.2909713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012709427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376395,0.99149233
Clonal,559c30f2-8ae7-43c8-819c-800261065e06,0.065406896,0,0,0,0.087183274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8147463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032663465,0.9995857
Clonal,55c75a2a-f3d2-4469-9d23-604cf539d548,0,0.10733539,0,0,0,0,0,0,0,0,0,0,0,0.031568803,0.03304769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82804817,0,0,0,0,0,0,0,0,0,0,1.77908E-21
Clonal,55c82198-5be6-4cc5-b5b3-b707af234107,0.04478269,0,0,0,0.43754467,0,0,0,0,0,0,0.359299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015935838,0,0,0.01604633,0,0,0.0836957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125881545,0,0,0,0,0,0,0,0,0,0,0,0.030107677,0.9954626
