bin,cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
1,LINC-JP,0.013013871,0,0,0.14463307,0.36885,0,0.014590024,0,0,0,0,0,0,0,0,0.1431514,0,0,0,0,0,0,0,0,0,0,0.17310376,0,0,0,0,0,0,0,0,0,0,0,0,0.035333153,0,0,0,0,0.058754988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04856974,0.9971699
1,LIRI-JP,0.012315032,0,0,0.1785242,0.37419918,0,0.018362261,0.011479594,0,0,0,0,0,0,0,0.20255627,0,0,0,0,0,0,0,0,0,0,0.11392216,0,0,0,0,0,0,0,0,0,0,0,0,0.026379565,0,0,0,0,0.020773385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04148829,0.99449146
1,LUAD-US,0,0.020224782,0,0.85964364,0.012314061,0,0,0,0,0,0,0,0,0,0,0,0.028836869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05714402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021836638,0.9985857
1,LUSC-US,0,0.026309326,0,0.7949826,0.04379008,0,0,0,0,0,0,0,0,0,0,0,0.04658179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062462218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025873959,0.9994455
1,MALY-DE,0.0329327,0.011279836,0.02765866,0,0.056480665,0.013495392,0,0,0,0,0.13818921,0.568192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030584214,0,0.013305416,0.010076054,0,0,0.021076629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020620758,0,0,0,0,0,0,0,0,0,0,0,0.056108475,0.996985
1,ORCA-IN,0.05653051,0.22178657,0.06876077,0,0.17423312,0,0,0,0,0,0,0,0,0,0,0,0.20415911,0,0,0,0,0,0.2109049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02689953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03672552,0.9999417
1,OV-AU,0.051561154,0,0.014527388,0,0.2797163,0,0,0,0,0,0.5795304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01668228,0,0.01593337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04204905,0.9998173
1,OV-US,0.042033784,0,0.01615946,0,0.1767807,0,0,0,0,0,0.6665519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053041153,0.014062862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031370103,0.9997154
1,PACA-AU,0.24986887,0.03722233,0.012857419,0,0.2651747,0,0,0,0,0,0.16100109,0,0,0,0,0,0.01195562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011701578,0,0,0,0,0,0,0.10819676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015025163,0,0,0,0,0,0,0,0,0,0.12699652,0.9983845
1,PACA-CA,0.274198,0.012925731,0.019503493,0,0.27343008,0,0,0,0,0,0.10381099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015355603,0,0,0,0,0,0,0,0,0,0,0,0,0.012049941,0.0182134,0,0,0,0,0,0,0.087534286,0,0,0,0,0,0,0,0,0,0,0.030935574,0,0,0,0,0,0.018446391,0,0,0,0,0,0,0,0,0,0.13359648,0.99798536
1,PAEN-AU,0.03925672,0.02201302,0,0,0.35984808,0,0,0.016888475,0,0,0.32001108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019915158,0,0,0,0,0,0,0,0.018905962,0,0,0,0,0,0,0,0,0,0.0970184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10614312,0.999005
