"","x"
"595","CCDC190"
"596","ILDR2"
"597","F5"
"598","TNR"
"599","LINC01741"
"600","C1orf21"
"601","UCHL5"
"602","CDC73"
"603","NAV1"
"604","RHEX"
"605","KCNH1"
"606","VASH2"
"607","USH2A"
"608","USH2A"
"609","DNAH14"
"610","LINC01744"
"611","SLC35F3"
"612","CHRM3"
"613","KIF26B"
"614","NLRP3"
"615","MYT1L"
"616","LINC00487"
"617","NTSR2"
"618","LRATD1"
"619","VSNL1"
"620","IFT172"
"621","CAPN14"
"622","XDH"
"623","LTBP1"
"624","SLC8A1-AS1"
"625","DYNC2LI1"
"626","LOC730100"
"627","LINC01793"
"628","WDPCP"
"629","LRRTM4"
"630","LRRTM4"
"631","LRRTM4"
"632","LRRTM4"
"633","CTNNA2"
"634","RNF103-CHMP3"
"635","LOC442028"
"636","ZAP70"
"637","RFX8"
"638","CLASP1"
"639","NCKAP5"
"640","THSD7B"
"641","THSD7B"
"642","THSD7B"
"643","THSD7B"
"644","LRP1B"
"645","LRP1B"
"646","ARHGAP15"
"647","ARHGAP15"
"648","ARHGAP15"
"649","TEX41"
"650","FMNL2"
"651","GALNT13"
"652","GRB14"
"653","SCN3A"
"654","XIRP2"
"655","B3GALT1"
"656","ZSWIM2"
"657","PCGEM1"
"658","CCDC150"
"659","FLACC1"
"660","PARD3B"
"661","LANCL1-AS1"
"662","ERBB4"
"663","SPAG16"
"664","CXCR1"
"665","HDAC4"
"666","LINC01266"
"667","LINC01266"
"668","CNTN6"
"669","GRM7"
"670","SRGAP3-AS4"
"671","ATP2B2"
"672","SLC6A1"
"673","ATG7"
"674","TAMM41"
"675","SYN2"
"676","PLCL2"
"677","LOC339862"
"678","SATB1"
"679","SATB1"
"680","KCNH8"
"681","ZNF385D-AS1"
"682","RARB"
"683","STAC"
"684","CCDC13"
"685","TGM4"
"686","CHDH"
"687","ARHGEF3"
"688","FHIT"
"689","SUCLG2"
"690","SUCLG2-AS1"
"691","MDFIC2"
"692","ROBO2"
"693","ROBO2"
"694","ROBO2"
"695","LINC00971"
"696","EPHA6"
"697","EPHA6"
"698","DUBR"
"699","USF3"
"700","ZBTB20"
"701","LSAMP"
"702","TMEM39A"
"703","STXBP5L"
"704","COL6A4P2"
"705","STAG1"
"706","LOC440982"
"707","IGSF10"
"708","LINC02006"
"709","EGFEM1P"
"710","MECOM"
"711","PLD1"
"712","TMEM212-AS1"
"713","NLGN1"
"714","NLGN1"
"715","NAALADL2"
"716","NAALADL2"
"717","LIPH"
"718","IGF2BP2"
"719","TPRG1"
"720","LINC02026"
"721","STK32B"
"722","STK32B"
"723","EVC2"
"724","LINC01182"
"725","KCNIP4"
"726","KCNIP4"
"727","KCNIP4"
"728","DHX15"
"729","PCDH7"
"730","LINC02505"
"731","ATP8A1"
"732","KCTD8"
"733","LINC02429"
"734","ADGRL3"
"735","UGT2B4"
"736","NPFFR2"
"737","LOC101928978"
"738","NKX6-1"
"739","ABCG2"
"740","FAM13A"
"741","CCSER1"
"742","CCSER1"
"743","CCSER1"
"744","LOC100507053"
"745","COL25A1"
"746","ANKRD50"
"747","MGAT4D"
"748","FSTL5"
"749","SPOCK3"
"750","SPOCK3"
"751","AADAT"
"752","GALNTL6"
"753","GPM6A"
"754","TENM3"
"755","IRF2"
"756","CTNND2"
"757","CDH18"
"758","CDH12"
"759","CDH12"
"760","CDH12"
"761","CDH12"
"762","NPR3"
"763","ADAMTS12"
"764","PDE4D"
"765","PDE4D"
"766","ELOVL7"
"767","ZBED3-AS1"
"768","HAPLN1"
"769","LNPEP"
"770","FBXL17"
"771","FER"
"772","LOC101927078"
"773","LINC01170"
"774","GRAMD2B"
"775","FBN2"
"776","NR3C1"
"777","SH3RF2"
"778","PPP2R2B"
"779","ARHGEF37"
"780","SGCD"
"781","EBF1"
"782","LOC285626"
"783","TENM2"
"784","TENM2"
"785","KCNIP1"
"786","SLC22A23"
"787","SLC22A23"
"788","BMP6"
"789","TFAP2A"
"790","HIVEP1"
"791","ID4"
"792","DCDC2"
"793","LINC00240"
"794","KIF6"
"795","LRFN2"
"796","RCAN2"
"797","PTCHD4"
"798","PHF3"
"799","EYS"
"800","LOC101928516"
"801","IMPG1"
"802","GRIK2"
"803","RPF2"
"804","FYN"
"805","GPRC6A"
"806","THEMIS"
"807","LAMA2"
"808","ARHGAP18"
"809","ABRACL"
"810","TMEM242"
"811","PACRG"
"812","CCR6"
"813","AFDN"
"814","SDK1"
"815","NXPH1"
"816","LINC01162"
"817","SKAP2"
"818","ITPRID1"
"819","NT5C3A"
"820","BBS9"
"821","HECW1"
"822","IGFBP1"
"823","ABCA13"
"824","ZNF679"
"825","AUTS2"
"826","AUTS2"
"827","SEMA3E"
"828","CDK14"
"829","PSMC2"
"830","LHFPL3"
"831","NRCAM"
"832","LINC02476"
"833","LINC02476"
"834","LOC101928211"
"835","GCC1"
"836","MGAM2"
"837","ACTR3C"
"838","PRKAG2"
"839","CSMD1"
"840","CSMD1"
"841","MSRA"
"842","TUSC3"
"843","SLC7A2"
"844","FBXO16"
"845","NRG1"
"846","NRG1"
"847","NRG1"
"848","MIR1268A"
"849","ANK1"
"850","SNTG1"
"851","PXDNL"
"852","PCMTD1"
"853","NKAIN3"
"854","LINC01414"
"855","LINC01414"
"856","BHLHE22"
"857","CYP7B1"
"858","MTFR1"
"859","MIR2052HG"
"860","ZNF704"
"861","CNBD1"
"862","FLJ46284"
"863","CPQ"
"864","MTDH"
"865","GRHL2"
"866","MAILR"
"867","RIMS2"
"868","ZFPM2-AS1"
"869","PKHD1L1"
"870","CSMD3"
"871","CSMD3"
"872","SLC30A8"
"873","SLC30A8"
"874","ASAP1"
"875","LINC02055"
"876","KANK1"
"877","RFX3"
"878","JAK2"
"879","PTPRD"
"880","ADAMTSL1"
"881","LINC01239"
"882","LINGO2"
"883","LINGO2"
"884","TRPM3"
"885","RORB-AS1"
"886","GNAQ"
"887","SLC28A3"
"888","LOC102724156"
"889","LINC01508"
"890","FANCC"
"891","PTCSC2"
"892","TEX10"
"893","LINC00587"
"894","LOC340512"
"895","ASTN2"
"896","BRINP1"
"897","BRINP1"
"898","DENND1A"
"899","TBC1D13"
"900","GTF3C4"
"901","ADARB2"
"902","LINC00703"
"903","AKR1C3"
"904","TAF3"
"905","LINC00710"
"906","CAMK1D"
"907","MINDY3"
"908","CACNB2"
"909","MALRD1"
"910","KIAA1217"
"911","TMEM72-AS1"
"912","TMEM72-AS1"
"913","LNCAROD"
"914","PCDH15"
"915","PCDH15"
"916","PCDH15"
"917","LINC01515"
"918","CTNNA3"
"919","CDH23"
"920","LRMDA"
"921","KCNMA1"
"922","RNLS"
"923","LINC01375"
"924","HELLS"
"925","HPSE2"
"926","BTRC"
"927","LINC02624"
"928","ATRNL1"
"929","ADAM12"
"930","C10orf90"
"931","C10orf90"
"932","LINC01163"
"933","TRIM6-TRIM34"
"934","SBF2"
"935","MICALCL"
"936","HPS5"
"937","NAV2"
