,Classification
826,0.90430605
827,0.9842225
828,0.988749
829,0.9085033
830,0.8085101
831,0.97267604
832,0.9849044
833,0.37309217
834,0.74858934
835,0.91727966
836,0.9889964
837,0.98226607
838,0.99333864
839,0.9742605
840,0.98926735
841,0.45751685
842,0.99221426
843,0.8910481
844,0.9927205
845,0.76674503
846,0.95260096
847,0.9332481
848,0.9775203
849,0.91462094
850,0.9916102
851,0.44117364
852,0.9967386
853,0.9979845
854,0.98870814
855,0.99071515
856,0.903276
857,0.9725124
858,0.98989666
859,0.94626266
860,0.9793372
861,0.9750703
862,0.9983821
863,0.9839686
864,0.7928233
865,0.18823776
866,0.97200114
867,0.68178135
868,0.96976197
869,0.74479467
870,0.9902615
871,0.8508892
872,0.8903244
873,0.98375595
874,0.9893889
875,0.9920664
876,0.99033886
877,0.06331919
878,0.7920694
879,0.87615937
880,0.8893021
881,0.99255615
882,0.9778389
883,0.93755305
884,0.8966433
885,0.9990778
886,0.98318374
887,0.99684227
888,0.991804
889,0.9499281
890,0.9576673
891,0.9943469
892,0.93580496
893,0.9985654
894,0.9899967
895,0.412577
896,0.98686826
897,0.99997747
898,0.6824199
899,0.9775171
900,0.9925311
901,0.9810136
902,0.9974457
903,0.9831281
904,0.8682907
905,0.98095196
906,0.9808461
907,0.96987164
908,0.96935993
909,0.99446636
910,0.94986993
911,0.99782205
912,0.94629735
913,0.1607208
914,0.9735065
915,0.48408347
916,0.9991904
917,0.9583226
918,0.9847111
919,0.9966247
920,0.9214663
921,0.17857133
922,0.9724646
923,0.9202939
924,0.99127346
925,0.9999263
926,0.99107575
927,0.66591483
928,0.8399354
929,0.99886835
930,0.89297354
931,0.9876528
932,0.9393189
933,0.9997135
934,0.9409591
935,0.9893273
936,0.9825382
937,0.77021897
938,0.9971818
939,0.9979001
940,0.9693787
941,0.97008914
942,0.0269291
943,0.9844779
944,0.9677871
945,0.9997993
946,0.92207676
947,0.32943007
948,0.843128
949,0.99037606
950,0.94423264
951,0.9109327
952,0.9635505
953,0.27413127
954,0.9971113
955,0.9540485
956,0.9454716
957,0.06572249
958,0.98411673
959,0.969309
960,0.9635221
961,0.9990538
962,0.97370493
963,0.9889213
964,0.97210354
965,0.9905329
966,0.6164163
967,0.99203193
968,0.96103626
969,0.31582513
970,0.98789644
971,0.80924636
972,0.9737366
973,0.0643332
974,0.78895944
975,0.9669766
976,0.81035846
977,0.29358938
978,0.7766105
979,0.9835903
980,0.99516994
981,0.9796417
982,0.99620444
983,0.9834668
984,0.95074666
985,0.99756324
986,0.8382506
987,0.9565592
988,0.9121574
989,0.0049999165
990,0.97593063
991,0.9946743
992,0.93913496
993,0.32491982
994,0.35798365
995,0.99374455
996,0.98182744
997,0.9875679
998,0.9981054
999,0.9886507
1000,0.9922069
1001,0.97981024
1002,0.4917876
1003,0.99063885
1004,0.9904389
1005,0.83453125
1006,0.97745365
1007,0.9983438
1008,0.98921204
1009,0.99630874
1010,0.68089825
1011,0.96259665
1012,0.97968936
1013,0.9985139
1014,0.9913914
1015,0.98644197
1016,0.91425395
1017,0.98826236
1018,0.97592974
1019,0.9716655
1020,0.9262357
1021,0.76428527
1022,0.8086356
1023,0.75152975
1024,0.98592377
1025,0.9937528
1026,0.97144914
1027,0.9413651
1028,0.9913368
1029,0.1095981
1030,0.9693188
1031,0.86970127
1032,0.9845787
1033,0.97722524
1034,0.9948245
1035,0.98003346
1036,0.99023473
1037,0.93733853
1038,0.9710261
1039,0.9892793
1040,0.9893712
1041,0.9999808
1042,0.9817253
1043,0.99266076
1044,0.8941538
1045,0.5767797
1046,0.9730742
1047,0.9889959
1048,0.97455907
1049,0.98078007
1050,0.97425675
1051,0.97941864
1052,0.92124254
1053,0.9060051
1054,0.99454355
1055,0.98359513
1056,0.96444905
1057,0.99548185
1058,0.7330568
1059,0.9794189
1060,0.97773576
1061,0.97907376
1062,0.29444173
1063,0.97404927
1064,0.9887256
1065,0.9994079
1066,0.9570375
1067,0.99764484
1068,0.93937504
1069,0.1039575
1070,0.98081756
1071,0.9971181
1072,0.98631775
1073,0.9995871
1074,0.99012226
1075,0.98166317
1076,0.98169404
1077,0.9744446
1078,0.9991893
1079,0.9633076
1080,0.99319047
1081,0.98752135
1082,0.45907176
1083,0.9275478
1084,0.9536113
1085,0.9959388
1086,0.95769507
1087,0.9699829
1088,0.9772628
1089,0.99777895
1090,0.9949705
1091,0.96829975
1092,0.9114018
1093,0.97834915
1094,0.99402064
1095,0.78580934
1096,0.9206363
1097,0.999542
1098,0.9837331
1099,0.8331627
1100,0.9892191
1101,0.25095516
1102,0.9805322
1103,0.9695785
1104,0.989689
1105,0.9667545
1106,0.95640934
1107,0.88349
1108,0.8398347
1109,0.0055124597
1110,0.9876825
1111,0.89255506
1112,0.9364905
1113,0.99885404
1114,0.56791824
1115,0.87075627
1116,0.97202694
1117,0.9929395
1118,0.9873711
1119,0.9863579
1120,0.990719
1121,0.86360615
1122,0.9789018
1123,0.99463814
1124,0.98902637
1125,0.16612099
1126,0.9560978
1127,0.82134247
1128,0.9907923
1129,0.93960136
1130,0.8831394
1131,0.9988531
1132,0.89763343
1133,0.48772848
1134,0.99265033
1135,0.9946918
1136,0.993834
1137,0.44457415
1138,0.9968984
1139,0.97976035
1140,0.94057524
1141,0.9306701
1142,0.9966804
1143,0.9933342
1144,0.9936521
1145,0.21470773
1146,0.97208315
1147,0.97584224
1148,0.9631632
1149,0.42618677
1150,0.995808
1151,0.4375045
1152,0.9851827
1153,0.9418407
1154,0.948693
1155,0.9958165
1156,0.9757902
1157,0.9989749
1158,0.5714589
1159,0.99301034
1160,0.9484986
1161,0.99868685
1162,0.99798644
1163,0.99228865
1164,0.98398995
1165,0.9583155
1166,0.7811364
1167,0.9243305
1168,0.9487634
1169,0.96084684
1170,0.9307036
1171,0.9921869
1172,0.9267285
1173,0.16566436
1174,0.9392339
1175,0.98766345
1176,0.9400755
1177,0.2597641
1178,0.026289433
1179,0.9646559
1180,0.9862396
1181,0.926922
1182,0.77986234
1183,0.99612576
1184,0.97453296
1185,0.9950506
1186,0.77295685
1187,0.99555594
1188,0.9602272
1189,0.99167377
1190,0.9636892
1191,0.848476
1192,0.94506556
1193,0.97127444
1194,0.9977985
1195,0.9973346
1196,0.98550344
1197,0.9928879
1198,0.99737215
1199,0.9836781
1200,0.9899462
1201,0.9717935
1202,0.9911664
1203,0.9966074
1204,0.9937568
1205,0.99694616
1206,0.9017228
1207,0.9770469
1208,0.97722876
1209,0.82307017
1210,0.98641336
1211,0.9179111
1212,0.8794094
1213,0.99372005
1214,0.99194735
1215,0.8880748
1216,0.99545896
1217,0.93263036
1218,0.99587435
1219,0.97832584
1220,0.98295975
1221,0.97548723
1222,0.99821556
1223,0.94242567
1224,0.9671561
1225,0.03919586
1226,0.9894203
1227,0.99348855
1228,0.9835851
1229,0.9754252
1230,0.995389
1231,0.9939108
1232,0.9812433
1233,0.99909437
1234,0.76237744
1235,0.97376245
1236,0.8654972
1237,0.98572403
1238,0.98603326
1239,0.99804485
1240,0.98395824
1241,0.99999833
1242,0.98475987
1243,0.9913373
1244,0.9613074
1245,0.9980617
1246,0.9722334
1247,0.97512895
1248,0.9735979
1249,0.98751175
1250,0.5535215
1251,0.95168895
1252,0.98099136
1253,0.99410796
1254,0.98492706
1255,0.9967493
1256,0.9508636
1257,0.98940337
1258,0.8618188
1259,0.72722316
1260,0.9912676
1261,0.9721014
1262,0.7722651
1263,0.94590086
1264,0.99315405
1265,0.031389322
1266,0.9716545
1267,0.9799615
1268,0.87710226
1269,0.9869528
1270,0.8995184
1271,0.91303337
1272,0.985743
1273,0.52393883
1274,0.9162906
1275,0.9962714
1276,0.98752207
1277,0.99660057
1278,0.9285985
1279,0.9960269
1280,0.91079265
1281,0.98920244
1282,0.99604
1283,0.9950866
1284,0.991176
1285,0.9660831
1286,0.9635332
1287,0.796627
1288,0.91052413
1289,0.73803216
1290,0.99822944
1291,0.9290963
1292,0.97271323
1293,0.9525282
1294,0.95413107
1295,0.98885125
1296,0.8977126
1297,0.1458637
1298,0.99515605
1299,0.99244577
1300,0.90336657
1301,0.86057067
1302,0.98996675
1303,0.98539716
1304,0.9528324
1305,0.9390222
1306,0.9821567
1307,0.9763447
1308,0.9528912
1309,0.8244587
1310,0.9849563
1311,0.97425485
1312,0.91902065
1313,0.9973219
1314,0.98718727
1315,0.987498
1316,0.9726477
1317,0.99249613
1318,0.87188554
1319,0.95600146
1320,0.99038273
1321,0.605879
1322,0.9616959
1323,0.98638165
1324,0.9889543
1325,0.2929436
1326,0.9955634
1327,0.65370256
1328,0.9343515
1329,0.006847726
1330,0.7258881
1331,0.9878033
1332,0.98461574
1333,0.99656194
1334,0.80038285
1335,0.99020714
1336,0.9852084
1337,0.98196065
1338,0.99253356
1339,0.97161174
1340,0.9839146
1341,0.97706884
1342,0.9738148
1343,0.9955107
1344,0.9616334
1345,0.94564545
1346,0.99806625
1347,0.9958293
1348,0.60626864
1349,0.67344254
1350,0.8439368
1351,0.79116374
1352,0.99207324
1353,0.9999536
1354,0.9946995
1355,0.9894419
1356,0.9676204
1357,0.995626
1358,0.9847401
1359,0.9073565
1360,0.9779578
1361,0.99039614
1362,0.94635177
1363,0.99612844
1364,0.8853839
1365,0.99563086
1366,0.9442001
1367,0.92908424
1368,0.82000065
1369,0.9859561
1370,0.99781007
1371,0.7067845
1372,0.9725219
1373,0.4760679
1374,0.6701219
1375,0.883357
1376,0.934723
1377,0.9951108
1378,0.998321
1379,0.99307007
1380,0.96650743
1381,0.99970955
1382,0.985401
1383,0.99644536
1384,0.79246324
1385,0.999421
1386,0.9923962
1387,0.9875773
1388,0.91011757
1389,0.49261403
1390,0.0490519
1391,0.837687
1392,0.98290265
1393,0.12950012
1394,0.94543475
1395,0.90713555
1396,0.9697421
1397,0.29583824
1398,0.9987381
1399,0.9819988
1400,0.9900889
1401,0.94362265
1402,0.87795645
1403,0.9838214
1404,0.8800546
1405,0.72804964
1406,0.97266734
1407,0.99689376
1408,0.9877587
1409,0.42004123
1410,0.92822903
1411,0.984504
1412,0.98335844
1413,0.48064077
1414,0.85774255
1415,0.9678541
1416,0.99262834
1417,0.99898356
1418,0.9966254
1419,0.997399
1420,0.94799495
1421,0.94566196
1422,0.98994714
1423,0.9920792
1424,0.98153484
1425,0.0029111332
1426,0.81593966
1427,0.9910458
1428,0.9929997
1429,0.9988452
1430,0.9560738
1431,0.60949
1432,0.98652214
1433,0.91892016
1434,0.95526403
1435,0.95270604
1436,0.9868356
1437,0.024997892
1438,0.9544896
1439,0.983925
1440,0.9835222
1441,0.99918
1442,0.9884615
1443,0.9930381
1444,0.93490875
1445,0.94627684
1446,0.91300017
1447,0.995413
1448,0.9367287
1449,0.9838054
1450,0.7321901
1451,0.9814705
1452,0.9768117
1453,0.9416934
1454,0.9694193
1455,0.9924677
1456,0.96184874
1457,0.99930096
1458,0.91481364
1459,0.9921868
1460,0.9823079
1461,0.96897453
1462,0.9927713
1463,0.63628006
1464,0.988408
1465,0.030579533
1466,0.9875896
1467,0.9689071
1468,0.5858784
1469,0.9951702
1470,0.9975896
1471,0.9921484
1472,0.950672
1473,0.9923758
1474,0.16953051
1475,0.9748985
1476,0.99003416
1477,0.05304044
1478,0.7353752
1479,0.9803284
1480,0.98467076
1481,0.9941141
1482,0.95123816
1483,0.98643315
1484,0.9805384
1485,0.99623245
1486,0.7975132
1487,0.6757236
1488,0.99631184
1489,0.97635174
1490,0.96050334
1491,0.95553625
1492,0.99275416
1493,0.95834255
1494,0.9726943
1495,0.99478805
1496,0.9792858
1497,0.97127724
1498,0.99523276
1499,0.994942
1500,0.9557059
1501,0.44949698
1502,0.9926167
1503,0.98096484
1504,0.9531928
1505,0.99969554
1506,0.5091741
1507,0.60335875
1508,0.9822934
1509,0.9918724
1510,0.9962818
1511,0.98013777
1512,0.8324774
1513,0.81226605
1514,0.9819338
1515,0.81587136
1516,0.8724211
1517,0.9959216
1518,0.9971847
1519,0.93404084
1520,0.9915883
1521,0.99906343
1522,0.9128564
1523,0.9712683
1524,0.98618364
1525,0.88655514
1526,0.995928
1527,0.99377924
1528,0.9544596
1529,0.9814151
1530,0.94350857
1531,0.96543324
1532,0.9871502
1533,0.67249125
1534,0.95798093
1535,0.9957047
1536,0.41033164
1537,0.97594494
1538,0.21930015
1539,0.96121734
1540,0.99219185
1541,0.9994929
1542,0.9293492
1543,0.9759789
1544,0.99114674
1545,0.9503579
1546,0.9896696
1547,0.90894943
1548,0.9585759
1549,0.9996258
1550,0.9899385
1551,0.9773767
1552,0.987394
1553,0.36242357
1554,0.99366367
1555,0.9920555
1556,0.89431274
1557,0.9938106
1558,0.98915344
1559,0.96510017
1560,0.9860146
1561,0.91910917
1562,0.93595195
1563,0.94701964
1564,0.9846572
1565,0.026532816
1566,0.56978965
1567,0.9802146
1568,0.97566605
1569,0.97414374
1570,0.14676003
1571,0.80476224
1572,0.99206394
1573,0.8878508
1574,0.9990176
1575,0.9930247
