"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MALRD1",1.09496690504792e-07,0.945397896330441,0.1,0.032,0.00329289397355061,"14","MALRD1"
"AC018464.11",7.32763107806158e-35,0.942895673359294,0.967,0.659,2.20363849410546e-30,"14","AC018464.1"
"MKRN2OS",7.02913180547942e-10,0.94182695741575,0.104,0.029,2.11387080786183e-05,"14","MKRN2OS"
"RASSF9",1.30868633749129e-15,0.93982817478747,0.18,0.05,3.93561242273755e-11,"14","RASSF9"
"MALAT1",9.32350039191931e-79,0.939318900113188,1,1,2.8038562728619e-74,"14","MALAT1"
"GTF2H2C",1.21365357622038e-17,0.939044469482166,0.166,0.04,3.64982039976754e-13,"14","GTF2H2C"
"AC005400.1",1.69074902630094e-20,0.935940881573189,0.204,0.051,5.08458954679481e-16,"14","AC005400.1"
"BDNF1",1.57008139282096e-35,0.935418995975031,0.834,0.372,4.72170577263047e-31,"14","BDNF"
"TVP23B",2.19803023262024e-12,0.932274567648811,0.142,0.04,6.61013631855886e-08,"14","TVP23B"
"TSPAN121",7.59674076036302e-24,0.929761599867055,0.431,0.147,2.28456784886397e-19,"14","TSPAN12"
"RRAGB",7.51142268441771e-23,0.928133041814683,0.327,0.098,2.25891014388494e-18,"14","RRAGB"
"FAM241A1",6.42687259750358e-26,0.925206999195588,0.445,0.152,1.93275339624725e-21,"14","FAM241A"
"GNB42",6.59006716012509e-22,0.92230711779609,0.313,0.098,1.98183089706442e-17,"14","GNB4"
"POLD2",2.28169023785555e-07,0.921128581179739,0.133,0.049,0.006861727052303,"14","POLD2"
"STAT11",1.04325377902683e-11,0.918334566002631,0.137,0.039,3.13737708966738e-07,"14","STAT1"
"UBA3",6.880385940268e-20,0.917903863140832,0.412,0.151,2.0691384638168e-15,"14","UBA3"
"SUB1",9.40672978700201e-10,0.916685812085489,0.204,0.079,2.82888584884511e-05,"14","SUB1"
"TMC6",7.85871509063733e-18,0.916550806804703,0.185,0.048,2.36335138920737e-13,"14","TMC6"
"LAMA22",1.29719865673216e-52,0.911899797941405,1,0.994,3.90106552039063e-48,"14","LAMA2"
"SCRN3",1.21480681729301e-10,0.911883238001421,0.199,0.072,3.65328854164527e-06,"14","SCRN3"
"GLRX",2.42920678334208e-22,0.911579563413893,0.223,0.055,7.30535355954465e-18,"14","GLRX"
"CARMIL11",6.98963823341089e-15,0.911149754599353,0.398,0.173,2.10199390593366e-10,"14","CARMIL1"
"TDP2",1.66438436745814e-10,0.911124943415045,0.123,0.036,5.00530310825686e-06,"14","TDP2"
"SH3BGR1",6.45587563672655e-13,0.90559456669434,0.365,0.153,1.94147548023277e-08,"14","SH3BGR"
"GALNT7",9.0953137070923e-16,0.905344627457783,0.156,0.04,2.73523369113387e-11,"14","GALNT7"
"FAM199X1",1.47373032408328e-16,0.904678214373576,0.194,0.054,4.43194920361566e-12,"14","FAM199X"
"IER3",5.60583653585767e-11,0.904096189116274,0.171,0.057,1.68584322142848e-06,"14","IER3"
"MDFIC1",9.81120104309824e-21,0.903136421347676,0.445,0.172,2.95052248969094e-16,"14","MDFIC"
"MGST32",1.51295537428222e-28,0.901232191496648,0.749,0.334,4.54991069707893e-24,"14","MGST3"
"MIR222HG",7.63293732583066e-17,0.900904685776483,0.109,0.021,2.29545324199705e-12,"14","MIR222HG"
"ABCG2",6.25478965357357e-11,0.899683233156865,0.128,0.037,1.88100289251918e-06,"14","ABCG2"
"HLA-A1",3.1309860975096e-24,0.897128016865032,0.175,0.036,9.41581449104061e-20,"14","HLA-A"
"SERPINH11",1.8338501844878e-09,0.895542104645936,0.142,0.047,5.51493765981016e-05,"14","SERPINH1"
"AC083870.1",8.27820920460682e-15,0.895031236494242,0.242,0.081,2.48950585410141e-10,"14","AC083870.1"
"TXNRD31",2.46250857941865e-11,0.89334891736184,0.185,0.063,7.40550205088572e-07,"14","TXNRD3"
"DANCR1",4.50041493586842e-27,0.892694728125826,0.299,0.077,1.35340978366371e-22,"14","DANCR"
"H3F3B1",1.74698188281606e-28,0.890363532738804,0.303,0.077,5.25369861619273e-24,"14","H3F3B"
"ANGPTL4",5.11161894544187e-21,0.888947504860914,0.18,0.041,1.53721716546273e-16,"14","ANGPTL4"
"PLAAT1",4.34595535069826e-12,0.888441569372384,0.19,0.063,1.30695915261549e-07,"14","PLAAT1"
"RRAS21",3.23399446439656e-18,0.887989470986634,0.545,0.247,9.72559155277976e-14,"14","RRAS2"
"SPRY21",1.92138319997084e-08,0.885741674544507,0.123,0.041,0.000577817569727231,"14","SPRY2"
"ACE2",2.64074689333936e-13,0.885414724010867,0.175,0.053,7.94151813233945e-09,"14","ACE2"
"ANKRA2",6.34793789080652e-11,0.884033933756818,0.109,0.029,1.90901536190225e-06,"14","ANKRA2"
"PLN1",3.45224012928887e-31,0.879816394970819,0.896,0.505,1.03819217408104e-26,"14","PLN"
"STEAP3",2.4650854922244e-14,0.878432606690287,0.142,0.037,7.41325160076644e-10,"14","STEAP3"
"FAM222A",3.909069367189e-12,0.875934524693976,0.118,0.031,1.17557443079475e-07,"14","FAM222A"
"COPS8",8.22863298992252e-09,0.873715284144487,0.1,0.029,0.00024745967990594,"14","COPS8"
"CD1641",5.93076255759048e-23,0.871334792175852,0.242,0.062,1.78355822394419e-18,"14","CD164"
"UBE2Q21",8.52947433889356e-13,0.871213120695343,0.156,0.046,2.56506881793546e-08,"14","UBE2Q2"
"PERP",1.40216856766955e-11,0.868908347001397,0.147,0.044,4.21674153355263e-07,"14","PERP"
"LYPLAL1",6.73370657257021e-27,0.867832112427903,0.773,0.363,2.02502757756904e-22,"14","LYPLAL1"
"MTHFD2L1",9.3121405606515e-20,0.866626600082944,0.493,0.203,2.80044003080472e-15,"14","MTHFD2L"
"ENAH",4.22542098771177e-23,0.864803518764121,0.744,0.366,1.27071085363456e-18,"14","ENAH"
"PHAX1",1.81009783864001e-11,0.864151997858674,0.166,0.054,5.44350723014211e-07,"14","PHAX"
"CNOT71",1.47062939195142e-14,0.863712646984523,0.18,0.052,4.42262377041552e-10,"14","CNOT7"
"TMEM209",1.18716477455398e-09,0.863144005060767,0.123,0.038,3.5701606265162e-05,"14","TMEM209"
"MSI1",3.73518336432817e-09,0.862143770837879,0.104,0.03,0.000112328169315441,"14","MSI1"
"BCCIP",8.15442006601938e-22,0.859243597647724,0.393,0.132,2.45227874645401e-17,"14","BCCIP"
"NEK71",2.32863385160646e-26,0.859132929787571,0.957,0.649,7.0029005819361e-22,"14","NEK7"
"AL450384.2",2.53776289499217e-12,0.858810297650564,0.171,0.053,7.63181435410996e-08,"14","AL450384.2"
"RCBTB2",2.05818316205818e-12,0.85775929500297,0.166,0.051,6.18957422325758e-08,"14","RCBTB2"
"THAP9",3.53879679835452e-12,0.856977519413495,0.142,0.041,1.06422236116916e-07,"14","THAP9"
"ZFX",1.36198036309052e-21,0.85553856579984,0.559,0.227,4.09588354592211e-17,"14","ZFX"
