"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FBLN1",1.95211111472589e-176,5.11887066135364,0.371,0.017,5.87058375531518e-172,"9","FBLN1"
"TRIM22",2.13520858247284e-86,5.1156413500233,0.178,0.007,6.42121277007058e-82,"9","TRIM22"
"AC005323.2",2.64161318630731e-53,5.11542776429687,0.106,0.004,7.94412333518197e-49,"9","AC005323.2"
"ACSM3",2.67796365714363e-95,5.11516597109998,0.201,0.009,8.05344010612804e-91,"9","ACSM3"
"SHISA3",8.0806269237343e-57,5.11340992414429,0.102,0.003,2.43008693477462e-52,"9","SHISA3"
"SLC66A1L",1.52625347270595e-58,5.11264349573174,0.102,0.003,4.58990206846861e-54,"9","SLC66A1L"
"SCD5",6.49604987175343e-52,5.10960619535405,0.106,0.004,1.95355707793241e-47,"9","SCD5"
"SMOC2",6.23748868566199e-155,5.10646911283306,0.36,0.02,1.87579997243913e-150,"9","SMOC2"
"ADAMTS19",2.70534289580294e-81,5.10202749891899,0.167,0.007,8.13577769054818e-77,"9","ADAMTS19"
"ASPN",7.69323545282806e-103,5.09489729752155,0.246,0.014,2.31358669772898e-98,"9","ASPN"
"OAF",5.95209638772776e-148,5.0947794307051,0.273,0.008,1.78997394668137e-143,"9","OAF"
"SERPING1",8.06130190915569e-213,5.09450335589706,0.485,0.027,2.42427532314039e-208,"9","SERPING1"
"C1R",1.05611827641982e-153,5.09348047323047,0.326,0.015,3.17606449267733e-149,"9","C1R"
"COLEC12",1.7844824468344e-120,5.09258117749806,0.25,0.011,5.36647406236508e-116,"9","COLEC12"
"SPON1",1.65022725577518e-103,5.08864833120842,0.216,0.009,4.9627284262927e-99,"9","SPON1"
"CDC42EP2",1.78060580579346e-82,5.08671503021847,0.152,0.005,5.35481583976268e-78,"9","CDC42EP2"
"CLMP",2.75400760464726e-72,5.06408252054079,0.133,0.004,8.28212706945572e-68,"9","CLMP"
"LPCAT2",1.79146233199918e-134,5.06138669194835,0.295,0.015,5.38746467102113e-130,"9","LPCAT2"
"SCARA5",5.23138220494567e-76,5.02062805084762,0.159,0.007,1.57323357049331e-71,"9","SCARA5"
"CDO1",9.59880926732918e-48,5.01945483661742,0.117,0.007,2.88664991096391e-43,"9","CDO1"
"AKR1C2",1.69477514409232e-67,5.01938974593381,0.133,0.005,5.09669729082882e-63,"9","AKR1C2"
"EGFR",2.62760679360746e-207,5.00937001456326,0.462,0.025,7.90200191041571e-203,"9","EGFR"
"NLGN4X",2.66203406383588e-63,5.00888902792544,0.129,0.005,8.00553504017364e-59,"9","NLGN4X"
"FBLN2",2.40010441030932e-133,5.0006435165133,0.273,0.011,7.21783399312323e-129,"9","FBLN2"
"COL8A1",9.99278457742166e-222,4.99318765038958,0.455,0.02,3.00513010596802e-217,"9","COL8A1"
"COL14A1",2.89856236515477e-131,4.99294584589228,0.299,0.016,8.71684660072993e-127,"9","COL14A1"
"LRFN5",8.53152689006868e-61,4.98993149469871,0.133,0.006,2.56568608165035e-56,"9","LRFN5"
"NOVA1",6.77394444279111e-111,4.97984799278321,0.273,0.017,2.03712831228057e-106,"9","NOVA1"
"ADAM33",3.60487719426718e-62,4.97638861511176,0.125,0.005,1.08409471863197e-57,"9","ADAM33"
"COL1A2",3.3786405674002e-196,4.96370092517328,0.458,0.027,1.01605857783426e-191,"9","COL1A2"
"C8orf34",4.77181208935039e-102,4.96153740924044,0.212,0.009,1.43502704963034e-97,"9","C8orf34"
"SERPINE2",9.27054452091785e-102,4.93440343566693,0.189,0.006,2.78793085377563e-97,"9","SERPINE2"
"BICC1",1.34187492805808e-232,4.93392045530955,0.523,0.029,4.03542047114905e-228,"9","BICC1"
"HMGCLL1",1.76471597676295e-85,4.93345617784888,0.167,0.006,5.30703035691923e-81,"9","HMGCLL1"
"IL33",2.61618352357179e-119,4.92630272377246,0.258,0.012,7.86764871043744e-115,"9","IL33"
"C11orf96",3.02464996458777e-123,4.92577806276065,0.269,0.013,9.0960298385048e-119,"9","C11orf96"
"MMP16",5.06561702703413e-71,4.92557121887434,0.182,0.012,1.52338300853997e-66,"9","MMP16"
"AC011246.1",3.3898087238735e-121,4.92126658538396,0.273,0.014,1.01941717753048e-116,"9","AC011246.1"
"CXCL12",2.30399042141365e-194,4.91920241414977,0.439,0.024,6.92879039431728e-190,"9","CXCL12"
"HNMT",2.17405170549967e-49,4.91730077717714,0.125,0.008,6.53802569394916e-45,"9","HNMT"
"ADGRB3",1.65569585799065e-160,4.89368000949728,0.432,0.033,4.97917415373527e-156,"9","ADGRB3"
"CYP27A1",2.57312783703161e-76,4.89292332878664,0.186,0.011,7.73816734430516e-72,"9","CYP27A1"
"FRMD6",1.02377072905684e-112,4.87784058352255,0.246,0.012,3.07878571349263e-108,"9","FRMD6"
"BNC2",3.12334301434765e-177,4.8426090739927,0.371,0.016,9.39282944704768e-173,"9","BNC2"
"KCNS3",4.51901935968848e-87,4.84084332188893,0.167,0.006,1.35900469203912e-82,"9","KCNS3"
"KCNT2",5.13841640667385e-99,4.83678414402907,0.239,0.014,1.54527596597903e-94,"9","KCNT2"
"ANGPTL1",1.13418118997904e-77,4.83446616804797,0.189,0.011,3.41082309262395e-73,"9","ANGPTL1"
"MFAP5",1.66953059323965e-43,4.82893826398372,0.106,0.006,5.02077935304961e-39,"9","MFAP5"
"CLEC11A",1.00794217032054e-46,4.82613641315685,0.102,0.005,3.03118448880496e-42,"9","CLEC11A"
"MUSK",4.38911940966471e-53,4.8116619036432,0.117,0.006,1.31993988006847e-48,"9","MUSK"
"VIM",7.81375180368782e-248,4.78042424664344,0.682,0.059,2.34982957992304e-243,"9","VIM"
"CMTM3",1.58700954062525e-55,4.7749925161763,0.117,0.005,4.7726137915223e-51,"9","CMTM3"
"COL5A2",4.91051000175689e-172,4.76265620195026,0.424,0.027,1.47673767282835e-167,"9","COL5A2"
"COL15A1",3.51525512888733e-185,4.75466358858663,0.557,0.053,1.05714267491029e-180,"9","COL15A1"
"CAMK2N1",1.09902606053728e-78,4.75399834190503,0.17,0.008,3.30510107185376e-74,"9","CAMK2N1"
"COL5A1",1.3799195654878e-147,4.75285277277839,0.295,0.012,4.14983210929145e-143,"9","COL5A1"
"TFPI",5.09184095765169e-239,4.73414844601616,0.561,0.034,1.53126933119459e-234,"9","TFPI"
"IL15RA",1.19673596006508e-46,4.73400033733171,0.102,0.005,3.59894405270372e-42,"9","IL15RA"
"GPC3",4.64582764868021e-43,4.7337514210339,0.117,0.008,1.3971397487876e-38,"9","GPC3"
"ITGBL1",8.23564444503249e-88,4.73134797738854,0.212,0.012,2.47670535395462e-83,"9","ITGBL1"
"NCAM2",3.58296807793584e-112,4.72704596935474,0.284,0.018,1.07750599007764e-107,"9","NCAM2"
"PLEKHH2",8.94400597304442e-79,4.71313392780421,0.178,0.009,2.68973091627365e-74,"9","PLEKHH2"
"CCNG2",1.49336490400876e-66,4.7091727970781,0.125,0.004,4.49099627582553e-62,"9","CCNG2"
"PLXDC1",7.64050773587685e-116,4.70844752879205,0.239,0.01,2.29772989141024e-111,"9","PLXDC1"
"NBL1",3.76325223362635e-108,4.70634131925487,0.231,0.01,1.13172284421845e-103,"9","NBL1"
"MARCKS",1.26827921188874e-127,4.68901715318696,0.288,0.015,3.81409607391301e-123,"9","MARCKS"
"SPON2",4.27116689464364e-105,4.68899691675857,0.239,0.012,1.28446802022618e-100,"9","SPON2"
"RERG",9.7421747070161e-74,4.68722064320619,0.189,0.012,2.92976419964095e-69,"9","RERG"
"CCN2",2.67383331144299e-47,4.68612126830235,0.136,0.011,8.0410189175025e-43,"9","CCN2"
"FLRT2",8.71306803726415e-56,4.67722350181722,0.129,0.007,2.62028095084645e-51,"9","FLRT2"
"DAB2",1.14784719334533e-68,4.66830609062609,0.159,0.008,3.4519208645474e-64,"9","DAB2"
"HMCN1",2.5177040067441e-136,4.66000328953889,0.299,0.015,7.57149125948153e-132,"9","HMCN1"
"MAPK10",1.60634433983311e-132,4.64706087543279,0.348,0.024,4.83075933318011e-128,"9","MAPK10"
"CSRP1",1.19361621631108e-70,4.64593714464276,0.197,0.015,3.58956204731231e-66,"9","CSRP1"
"EDNRB",3.34548255041405e-108,4.64083918948116,0.239,0.012,1.00608696738602e-103,"9","EDNRB"
"PLSCR4",6.63268633708599e-124,4.63556105257012,0.295,0.017,1.99464776215187e-119,"9","PLSCR4"
"COL5A3",8.66299208203143e-93,4.60867481374094,0.205,0.01,2.60522160882931e-88,"9","COL5A3"
"GNA14",1.53355110311629e-55,4.60831069743442,0.117,0.005,4.61184823240161e-51,"9","GNA14"
"FREM1",4.3807380904401e-116,4.60276263631492,0.239,0.01,1.31741936593805e-111,"9","FREM1"
"S100A4",3.64229880499408e-141,4.60262796071061,0.367,0.025,1.09534851962587e-136,"9","S100A4"
"CRISPLD2",1.12240435592958e-93,4.60216403556903,0.239,0.015,3.37540661958702e-89,"9","CRISPLD2"
"ECM1",2.67694552989068e-90,4.6018665038573,0.201,0.01,8.05037829204024e-86,"9","ECM1"
"EPHA6",4.57329505441364e-52,4.60131099370526,0.133,0.008,1.37532702171381e-47,"9","EPHA6"
"CES1",2.30941495371312e-53,4.59334026987563,0.136,0.009,6.94510359030147e-49,"9","CES1"
"CABLES1",3.15658677629079e-68,4.57726241920643,0.14,0.006,9.49280341233929e-64,"9","CABLES1"
"EMP1",2.14882259420433e-130,4.55812441986631,0.288,0.014,6.46215418755069e-126,"9","EMP1"
"TIMP1",2.66133905012773e-170,4.55064334497323,0.439,0.03,8.00344492544911e-166,"9","TIMP1"
"IGF1",2.62186509322659e-103,4.55022454525931,0.231,0.012,7.88473489486034e-99,"9","IGF1"
"KCNN3",2.28215779401545e-59,4.5469919946096,0.133,0.007,6.86313313394267e-55,"9","KCNN3"
"BTG3",1.72421431007826e-50,4.54585953806518,0.14,0.01,5.18522969469836e-46,"9","BTG3"
"SLC9A9",9.18772268773609e-125,4.5443760230352,0.341,0.025,2.76302384388287e-120,"9","SLC9A9"
"AKR1C1",8.23620150409811e-67,4.54253927672243,0.163,0.01,2.47687287832742e-62,"9","AKR1C1"
"TMEM132C",3.0997312618042e-49,4.53489718253246,0.11,0.005,9.32182182362379e-45,"9","TMEM132C"
