"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL411",1.34266477384881e-08,1.06792727011833,0.208,0.126,0.000403779577439554,"11","RPL41"
"RPL101",3.27771761508419e-09,1.0638245230215,0.195,0.114,9.8570801838427e-05,"11","RPL10"
"VIM1",2.68043798789975e-07,1.05255756647113,0.104,0.053,0.00806088116101092,"11","VIM"
"PRDX21",3.54949203558584e-08,1.03260198416308,0.116,0.058,0.00106743873986173,"11","PRDX2"
"COX6A2",3.72246514043478e-08,1.01454279090201,0.278,0.19,0.00111945694168295,"11","COX6A2"
"SERF21",6.25433408848762e-07,0.986518687422495,0.188,0.118,0.0188086589043088,"11","SERF2"
"PRKY",1.21790116430336e-08,0.979943394490782,0.241,0.154,0.000366259417140948,"11","PRKY"
"GAPDH1",1.33615585960964e-14,0.965315044961973,0.343,0.211,4.01822151660407e-10,"11","GAPDH"
"DUSP11",7.19573180113128e-09,0.961469195372367,0.222,0.136,0.000216397242455421,"11","DUSP1"
"GTPBP6",4.03658105096379e-07,0.934342152399698,0.129,0.071,0.0121392101945634,"11","GTPBP6"
"COX7A1",1.48230927897999e-08,0.926059923671637,0.193,0.114,0.000445774869467652,"11","COX7A1"
"CTSD",1.4109267905928e-08,0.920404070269504,0.188,0.11,0.000424308013734974,"11","CTSD"
"GPX31",1.4610966959864e-15,0.916979602012312,0.222,0.109,4.39395609383991e-11,"11","GPX3"
"RPLP11",4.24892848702615e-09,0.856574865917482,0.261,0.168,0.000127778026390338,"11","RPLP1"
"COX4I11",1.72857685505542e-08,0.826079917160702,0.239,0.153,0.000519834917620815,"11","COX4I1"
"RPL81",6.07068048939609e-11,0.811184414501088,0.138,0.065,1.82563574357609e-06,"11","RPL8"
"RPS81",7.05645401643434e-07,0.809171340054723,0.163,0.097,0.021220874163623,"11","RPS8"
"KLF132",9.4074421587512e-08,0.778312897013175,0.161,0.092,0.00282910008040125,"11","KLF13"
"CCDC69",3.1108871973124e-09,0.777757724535051,0.239,0.147,9.35537106847759e-05,"11","CCDC69"
"BSG",2.98242347626628e-10,0.738804490156778,0.528,0.446,8.96904212017557e-06,"11","BSG"
"TCAP",8.83377763387581e-08,0.717174661537914,0.443,0.351,0.00265658194783547,"11","TCAP"
"HSPA1A2",1.30152312059674e-06,0.699655921033643,0.233,0.158,0.0391407048057059,"11","HSPA1A"
"PDE4A1",3.51976766305125e-09,0.699389934974816,0.197,0.112,0.00010584997293094,"11","PDE4A"
"HSPB12",1.55639422045387e-11,0.654124395450806,0.468,0.345,4.68054433917092e-07,"11","HSPB1"
"CKM1",7.39954011959565e-12,0.647491922524152,0.557,0.444,2.225263700166e-07,"11","CKM"
"TLE5",2.36766677417744e-08,0.632140541957902,0.318,0.22,0.000712028428998381,"11","TLE5"
"MB1",9.07176740966421e-07,0.591589510749394,0.604,0.548,0.0272815261310832,"11","MB"
"DES",1.30199619887184e-20,0.582051761902996,0.86,0.832,3.91549316886727e-16,"11","DES"
"NR4A12",2.87701227714294e-10,0.503102957436233,0.559,0.414,8.65203902105197e-06,"11","NR4A1"
"MYOF1",2.1466343397535e-07,0.423347908427288,0.464,0.37,0.00645557344994071,"11","MYOF"
"AC119673.21",1.57036303575497e-06,0.399040898410882,0.386,0.292,0.0472255275742594,"11","AC119673.2"
"BMPR2",1.63577359302502e-06,0.391619883780311,0.646,0.548,0.0491926192630415,"11","BMPR2"
"HSPB7",2.07642368523417e-07,0.316302003054941,0.748,0.702,0.00624442894860471,"11","HSPB7"
"MYH7",1.19633603023814e-12,0.275753671389772,0.938,0.956,3.59774134373515e-08,"11","MYH7"
"SPTBN1",7.89286979277082e-08,0.267085416951178,0.949,0.901,0.00237362273277997,"11","SPTBN1"
